learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,200,32,0.08734939156547739,0.9840647756119764
0.001,3,200,64,0.07031645859161392,0.9874183256318781
0.001,3,200,128,0.06536044116236733,0.9858412406410109
0.001,3,250,32,0.07001925766198669,0.9823069712718017
0.001,3,250,64,0.057778897932649745,0.9886852448396773
0.001,3,250,128,0.08724040442738333,0.9808686215275545
0.001,3,300,32,0.05922837928008364,0.9883367652428415
0.001,3,300,64,0.08557143234513831,0.986998077181642
0.001,3,300,128,0.06127380904970479,0.9872482676143273
0.001,4,200,32,0.0744015059392448,0.9862309049492273
0.001,4,200,64,0.05426515825259938,0.9878424516616626
0.001,4,200,128,0.07874964031709153,0.9829599475106183
0.001,4,250,32,0.06690343577180824,0.9883331447915966
0.001,4,250,64,0.05094079768639687,0.9877003411083246
0.001,4,250,128,0.0515941675407056,0.9873429489541128
0.001,4,300,32,0.11782103973359481,0.9789605696071312
0.001,4,300,64,0.10751465043889862,0.9821918182857905
0.001,4,300,128,0.0805516170730012,0.9840295762632707
0.001,6,200,32,0.09603630647023924,0.9791486383080894
0.001,6,200,64,0.05677262690752933,0.9875770907342575
0.001,6,200,128,0.08098615709121312,0.9716325242437721
0.001,6,250,32,0.11956301049072957,0.9770616450274456
0.001,6,250,64,0.05631714173537933,0.9785955377911012
0.001,6,250,128,0.07641919398013375,0.9804468636683207
0.001,6,300,32,0.07199785953023871,0.9867468043857753
0.001,6,300,64,0.06598396531206104,0.9848651311181612
0.001,6,300,128,0.07486246706446306,0.9823663252293934
