Diameter,Length,Pressure,Mass flux,Temperature,CHF
0.01075,4.0,6860.0,2008.0000000000002,260.16,1281.484253525734
0.00778,6.0,17650.0,1994.9999999999998,251.0,818.2592107057571
0.007799999999999999,6.0,13730.0,1001.0,163.28,653.497765481472
0.00811,3.0,16030.000000000002,1007.3,337.58,617.8483773469925
0.0104,3.8,19620.0,1930.6,327.7,902.0724551081657
0.008,5.03,12749.999999999998,2682.0,318.55,820.1152114272118
0.008,1.0,17650.0,982.0,159.65,2369.533377408981
0.00998,3.5,5982.0,1330.0,120.94999999999999,1559.9213690757751
0.0108,2.0,17650.0,1526.0,280.98,1370.4013664722443
0.01,1.0,2707.0,724.0,106.34,2713.435632705688
0.00803,4.0,15690.0,2024.0,261.33,1059.8173932433128
0.01,2.0,13720.0,1514.0,113.24000000000001,2310.6013364791866
0.006070000000000001,0.79,12749.999999999998,1604.0,249.92,2532.5136668682094
0.00792,0.5,7840.0,2786.0,118.67,6592.587332248688
0.00622,0.9100000000000001,6895.0,2658.0,157.46,4207.09045124054
0.00785,1.0,5100.0,2534.8,79.00999999999999,5240.898332118988
0.00581,1.0,9800.0,1499.0,158.26,3186.2446255683894
0.00996,0.96,2785.0,2372.0,141.48,4321.090588092804
0.012799999999999999,1.9299999999999997,5270.0,1328.0,227.77000000000004,1916.8914825916288
0.007790000000000001,6.0,9810.0,4002.0,97.94,1706.3930673599243
0.0108,1.0,9810.0,2741.7,160.91,4577.329353809357
0.007,0.9799999999999999,9930.0,3452.0000000000005,285.89,2537.44892668724
0.006070000000000001,0.79,7850.0,3217.0,262.14,2901.325652122497
0.0024,0.5,3100.0,1772.0000000000002,51.18999999999999,3781.668635129928
0.01,2.0,1373.0,392.0,72.8,1011.0255984663963
0.00578,3.0,13720.0,3335.0,319.89,1180.1722939014435
0.00799,1.0,9810.0,1001.0,223.3,2173.872292757034
0.01,1.25,3413.0,332.0,56.129999999999995,1738.2413161993027
0.01,1.0,14000.0,990.0,191.01999999999998,2565.034334182739
0.007799999999999999,7.0,17650.0,2772.0,96.1,1166.3387278914452
0.00805,15.000000000000002,13720.0,2777.0,310.9,528.5957668423653
0.008,1.57,12749.999999999998,2652.0,280.53,1857.386539697647
0.01,1.0,14000.0,412.0,152.42,1699.3818385601044
0.008,1.57,4900.0,1595.0,169.77,2481.7023630142207
0.008,1.57,12749.999999999998,2201.0,209.1,2558.632540225982
0.008,1.57,4900.0,1595.0,109.63,2774.2559964656825
0.00801,3.0,17650.0,501.00000000000006,118.08,685.5577982664108
0.0113,1.829,13810.999999999998,2047.6,322.22,1400.3082723617554
0.00993,1.04,2079.0,202.99999999999997,131.15,1335.7942922115326
0.0151,3.178,4992.0,1120.0,183.28,1568.1426901817322
0.0104,3.8,19610.0,1930.0,330.81,890.4005561470985
0.008,1.0,13730.0,980.0,188.63,2588.7664718627925
0.01,4.966,12000.0,2662.0,306.72,1003.9432610273361
0.00809,1.0,9810.0,1964.0,289.02,2040.9315187931056
0.008,1.57,9800.0,1620.0,303.79,1380.7861931324005
0.00585,4.0,15690.0,3318.0000000000005,137.68,1734.5433111190796
0.01,2.0,13720.0,1175.0,108.24,1946.6607971191404
0.008,0.79,2940.0000000000005,3966.0000000000005,178.87,4772.473759174347
0.01001,3.0,7000.0,3640.0,193.74,2210.7126171588893
0.00581,1.0,11760.000000000002,5019.0,138.14,6545.477947711945
0.00953,1.727,6964.0,2088.2,173.98,2618.399855613708
0.0131,1.75,3275.0,996.0,51.8,2467.4675877094264
0.01001,3.0,18000.0,2147.0,339.21,1084.448559999466
0.00805,2.0,13720.0,2009.0,300.99,1323.5171098709106
0.0141,1.27,11029.0,2034.0000000000002,280.21,2203.3642895221706
0.006070000000000001,0.79,14700.0,3189.0,321.25,2430.1993067264552
0.01001,3.0,15690.0,371.0,321.57,421.91503082215786
0.00998,2.0,8924.0,660.0,76.73,1650.0045688152313
0.01,4.966,9800.0,2979.0,288.56,1161.5494216680527
0.0102,3.658,6893.0,5342.6,154.88,3024.9847025871272
0.00998,1.0,7944.000000000001,1534.0,96.32,3865.018635511398
0.008,1.57,9800.0,4979.0,260.84,2892.5867028236385
0.008,5.03,12749.999999999998,3218.0,261.13,1223.7988377809525
0.0082,5.34,17650.0,1009.9999999999999,56.66,849.2243839502335
0.0126,4.877,8177.0,961.6,255.57,857.5307507514954
0.008,1.4,2982.0,4052.0,137.17,4401.508469104767
0.015,5.372,4060.0,1318.0,191.74,1197.6876149773598
0.0108,1.0,6860.0,1993.0,180.54,3522.3627681732173
0.00578,2.0,15690.0,3441.0,177.4,3165.696067333221
0.012300000000000002,0.616,550.0,100.0,126.05,1386.1003036499023
0.00384,1.55,2940.0000000000005,3984.0,209.14,2106.750719070434
0.01,2.0,7000.0,5364.0,186.27,3759.9949116706844
0.01075,4.0,11760.000000000002,1007.0,298.8,738.56629383564
0.00998,3.5,4021.0,664.0,88.79,1103.5143340826035
0.006070000000000001,0.79,9800.0,2708.0,259.82,2773.9530582427974
0.00801,1.0,6860.0,2000.0000000000002,120.20999999999998,4275.832519054413
0.00802,1.57,17650.0,2689.0,265.42,2519.6334547996516
0.01,4.966,17650.0,658.0,337.63,328.4878272265196
0.00801,3.0,13730.0,4000.0000000000005,282.7,1731.822204709053
0.00998,3.0,6963.0,586.0,116.02,1187.9191027283669
0.00578,3.0,6860.0,1493.0,259.15,870.2308486104012
0.00799,1.0,9810.0,2002.0,153.23,4216.438123703003
0.00394,2.08,2854.0,952.0,59.24,847.8665588498116
0.00782,0.25,14710.0,1990.0,261.21,4391.456708431244
0.00801,1.0,9810.0,4000.0000000000005,258.68,3325.0624485015865
0.00796,3.0,17650.0,2000.0000000000002,279.99,1207.7881850004196
0.0141,1.524,11029.0,1627.2,282.52,1841.052191376686
0.008,0.393,1510.0,4819.0,112.25999999999999,8128.042881011961
0.007700000000000001,2.6,11790.0,1961.1,234.92999999999998,1444.6186215877533
0.00778,6.0,13830.0,3955.9999999999995,97.56,1699.930543422699
0.011,6.0,14700.0,1606.0,311.31,668.9371175765991
0.006,0.75,107.0,150.0,26.58,576.7134232521057
0.00601,1.0,3040.0,656.0,92.02000000000001,2211.5545339584346
0.008,1.57,4900.0,1001.0,115.56,2236.477785825729
0.0102,2.438,6893.0,4339.2,245.3,2277.638478994369
0.012799999999999999,1.9299999999999997,7030.0,929.9999999999999,206.62,1658.596200466156
0.0131,2.25,2305.0,763.0,48.74000000000001,1884.4349850416183
0.008,0.8,116.0,150.0,25.55,761.5931571722031
0.0108,1.0,5880.000000000001,1517.0,138.45,3605.788681030273
0.0151,3.163,5020.999999999999,3040.0,265.19,2023.1512750387187
0.00798,1.65,13720.0,1245.0,285.14,1229.7236878871918
0.008,2.51,2940.0000000000005,990.0,124.79000000000002,1335.536901473999
0.0093,1.829,205.0,299.7,82.12,628.1584776639938
0.00795,3.0,9810.0,4109.0,259.7,1745.3757841587067
0.00598,4.005,6977.0,2182.9,285.61,806.3907102942467
0.00799,1.0,9810.0,2002.0,274.9,2163.3228309154506
0.00585,4.0,9800.0,1499.0,118.53,963.3545802235603
0.00782,0.25,9800.0,2013.0,239.59,4586.308376312256
0.0134,3.658,17216.0,2027.7,328.68,1039.582033276558
0.01075,6.0,5880.000000000001,1534.0,240.28,937.2704605460167
0.006070000000000001,0.79,14700.0,2708.0,224.43000000000004,4060.758716583252
0.00578,2.0,5880.000000000001,1493.0,160.6,1648.7046862840652
0.008,2.44,14700.0,2179.0,265.44,1492.3417110443115
0.008,3.0,13730.0,2060.0,273.46,1229.177118062973
0.00581,1.0,13720.0,1499.0,158.07,3013.1454403400417
0.00785,1.0,3040.0,380.0,65.05,1766.4799268245697
0.00811,2.0,7000.0,4995.1,186.50000000000003,3296.4856715202327
0.0134,3.658,6921.0,2039.8000000000002,234.62,1579.901532649994
0.0141,0.991,11029.0,2712.0,268.4,2904.136785984039
0.00801,6.0,17650.0,501.00000000000006,207.88,375.33792321383953
0.00384,1.549,14710.0,3981.9999999999995,257.06,2529.019320726394
0.006070000000000001,0.79,17700.0,2699.0,335.24,2272.8659565448756
0.00578,3.0,11760.000000000002,3314.0,238.95999999999998,1548.7691147327423
0.00776,2.08,863.0,1188.0,126.47,1407.6705963611603
0.0093,2.438,111.0,92.2,98.04,263.44026540219784
0.01105,1.0,14710.0,962.0000000000001,218.34,2111.8366177082057
0.00801,1.002,6860.0,501.00000000000006,169.31000000000003,2255.7187516689296
0.00801,1.0,9810.0,2000.0000000000002,278.98,2127.859131813049
0.00811,4.0,9990.0,2508.3,210.91,1401.296913743019
0.00581,1.0,9800.0,3352.9999999999995,299.79,2177.7126337289806
0.00805,10.94,6860.0,1007.9999999999999,159.30000000000004,389.12244264781475
0.00795,2.0,11760.000000000002,2004.0000000000002,158.29,2337.0933670997615
0.008,1.57,17700.0,3989.0,337.11,2118.492599844932
0.0104,3.8,14710.0,2219.4,248.66999999999996,1329.2857463359833
0.011,6.0,9800.0,1585.0,279.86,830.79941791296
0.00778,6.0,6960.0,1966.0000000000002,248.1,832.9209343791008
0.0082,5.34,9800.0,1009.9999999999999,219.26,651.1454869508743
0.01,4.966,16000.0,827.0000000000001,246.71,568.5348029136658
0.01075,6.0,14710.0,1537.0,158.6,1011.1850146651268
0.0152,2.456,4992.0,3010.0,240.68,2455.9305520057674
0.007700000000000001,2.6,14710.0,2458.0,158.13,2185.754730224609
0.008,0.9700000000000001,9800.0,1595.0,250.75000000000003,2312.624641180038
0.00811,2.0,14000.0,750.5,236.12000000000003,1034.1933150291443
0.01,2.0,15690.0,1168.0,335.13,945.1492859125137
0.0093,1.219,202.0,299.7,100.65999999999998,853.8798351287842
0.00998,3.0,6963.0,986.9999999999999,98.67,1570.5914605855942
0.01,4.966,14000.0,6174.0,317.4,1735.6808121204376
0.00798,6.0,13990.0,5032.8,235.61,1621.4232845306396
0.01,4.966,17650.0,2027.0,337.07,728.1258375644684
0.0141,1.524,11063.0,1623.1,290.53,1799.7943539619446
0.01262,3.658,6964.0,2020.3999999999999,235.94,1547.0837391614914
0.01,1.25,1971.0,105.00000000000001,36.61,1030.0558478832245
0.00805,15.000000000000002,13720.0,2008.0000000000002,240.8,487.13557523489
0.00578,2.0,5880.000000000001,1493.0,220.12,1367.3368747234344
0.0126,3.66,6869.999999999999,1994.3999999999999,245.67,1500.4609061479568
0.00782,0.25,7840.0,2991.0,179.31999999999996,6518.360113620758
