Diameter,Length,Pressure,Mass flux,Temperature,CHF
0.01075,4.0,6860.0,2008.0,260.16,1083.5149357765913
0.007779999999999999,6.0,17650.0,1995.0000000000002,251.0,544.6282686367631
0.0078000000000000005,6.0,13730.0,1000.9999999999999,163.28,456.36984683200717
0.00811,3.0,16030.0,1007.3,337.58000000000004,378.70804900303483
0.0104,3.8,19620.0,1930.6,327.7,677.7751687839627
0.008,5.03,12750.0,2682.0,318.55,553.9745202623308
0.008,1.0,17650.0,982.0,159.65,1860.4545554518702
0.00998,3.5,5982.000000000001,1330.0,120.95,1492.2414093613627
0.0108,2.0,17650.0,1526.0,280.98,1199.9544097483158
0.01,1.0,2707.0,724.0,106.34000000000002,3162.7163338661194
0.00803,4.0,15690.0,2024.0,261.33,757.2404801994562
0.01,2.0,13720.0,1514.0,113.23999999999998,2196.049611583352
0.00607,0.79,12750.0,1604.0,249.92,1937.9042304456234
0.00792,0.5,7840.0,2786.0,118.67,6529.570947885513
0.00622,0.9100000000000001,6894.999999999999,2658.0,157.45999999999998,3880.3856750130653
0.00785,1.0,5100.000000000001,2534.8,79.01,5063.215724378824
0.00581,1.0,9800.0,1499.0,158.25999999999996,2279.9756485521793
0.00996,0.96,2785.0,2372.0,141.48,4440.929784864187
0.0128,1.9299999999999997,5270.0,1328.0,227.76999999999998,1986.3086981326342
0.00779,6.0,9810.0,4001.9999999999995,97.93999999999998,1450.1722867786887
0.0108,1.0,9810.0,2741.7,160.90999999999997,4468.78556779027
0.007000000000000001,0.9799999999999999,9930.0,3451.9999999999995,285.89,2058.590599909425
0.00607,0.79,7850.0,3217.0,262.14,2677.274121761322
0.0024,0.5,3100.0,1772.0,51.19,3683.682846814394
0.01,2.0,1373.0,392.0,72.8,1032.5598723888397
0.00578,3.0,13720.0,3335.0,319.89,788.7597994804382
0.00799,1.0,9810.0,1000.9999999999999,223.3,1911.7621610164642
0.01,1.25,3413.0,332.0,56.13,1691.3329882323744
0.01,1.0,14000.0,990.0,191.02,2065.924160078168
0.0078000000000000005,7.0,17650.0,2772.0,96.1,994.4130162671208
