learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,200,32,0.09550557114421343,0.9790911872070536
0.001,3,200,64,0.0768387373622695,0.9808531788527374
0.001,3,250,32,0.09615348149676915,0.97619507713535
0.001,3,250,64,0.07062609866023024,0.980426458801183
0.001,3,300,32,0.08904159208439726,0.9791315497907527
0.001,3,300,64,0.06268792847811273,0.9796100531146403
0.001,4,200,32,0.14629151346887087,0.9764580303030078
0.001,4,200,64,0.07009836177245965,0.9820710595053708
0.001,4,250,32,0.06564318802755444,0.9826595244428031
0.001,4,250,64,0.07455227514589076,0.9773337505883828
0.001,4,300,32,0.10795506856653765,0.9627305200275675
0.001,4,300,64,0.07295512598091215,0.9822271496491566
0.001,6,200,32,0.10576167282391985,0.9786416963367786
0.001,6,200,64,0.10744079087209343,0.9776847921296761
0.001,6,250,32,0.06889583176472243,0.9828239101217103
0.001,6,250,64,0.07158387033868255,0.9793642875930142
0.001,6,300,32,0.1403405119131022,0.9776344847024363
0.001,6,300,64,0.07303799803812182,0.9778521817081498
