Diameter,Length,Pressure,Mass flux,Temperature,CHF
0.00775,1.008,6960.0,500.0,51.75,19076.13293838501
0.00775,1.008,6860.0,500.0,76.17,19061.446643829346
0.00775,1.008,6860.0,500.0,104.08,19029.85673904419
0.00775,1.008,6860.0,500.0,114.06,19017.79609298706
0.00775,1.008,6860.0,500.0,204.9,18898.637046813965
0.00775,1.008,6860.0,500.0,222.08,18885.52363204956
0.00801,1.0,6860.0,500.0,62.04,16983.531005859375
0.00801,1.0,6860.0,500.0,79.99,16986.14182662964
0.00801,1.0,6860.0,500.0,131.07,16913.022876739502
0.00801,1.0,6860.0,500.0,146.09,16901.778896331787
0.00801,1.0,6860.0,500.0,173.44,16881.60406112671
0.00801,1.0,6860.0,500.0,250.14,16779.01214981079
0.00801,1.002,6960.0,501.0,80.98,16973.147033691406
0.00801,1.002,6860.0,501.0,99.09,16971.45781326294
0.00801,1.002,6960.0,496.0,117.16,16925.430263519287
0.00801,1.002,6960.0,501.0,137.22,16912.55067062378
0.00801,1.002,6960.0,501.0,152.19,16904.226612091064
0.00801,1.002,6860.0,501.0,214.86,16795.530239105225
0.00801,1.002,6770.000000000001,501.0,230.15,16807.536136627197
0.00801,1.002,6860.0,501.0,241.16,16786.266330718994
0.00801,1.002,6860.0,501.0,255.28,16763.27194595337
0.008,1.0,6860.0,502.0,164.23,16967.6710395813
0.008,1.0,6860.0,501.0,177.57,16927.11834335327
0.008,1.0,6860.0,501.0,222.08,16878.136653900146
0.008,1.0,6860.0,501.0,247.23,16856.151695251465
0.00775,1.008,6860.0,1000.0,50.76,19252.38330078125
0.00775,1.008,6960.0,1000.0,96.02,19199.342235565186
0.00775,1.008,6960.0,1000.0,120.95,19166.817043304443
0.00775,1.008,6860.0,1000.0,133.19,19165.547561645508
0.00775,1.008,6860.0,1000.0,153.32,19097.847576141357
0.00775,1.008,6860.0,1000.0,169.31,19094.852375030518
0.00775,1.008,6860.0,1000.0,191.67,19085.875896453857
0.00775,1.008,6860.0,1000.0,214.86,19060.12013244629
0.00775,1.008,7060.0,1000.0,239.11,19034.127124786377
0.00775,1.008,6860.0,1000.0,269.13,18998.301052093506
0.00796,1.0,6860.0,1000.0,126.12,17471.09978866577
0.00796,1.0,6860.0,1000.0,181.45,17423.054527282715
0.00796,1.0,6860.0,1000.0,183.5,17415.353233337402
0.00796,1.0,6860.0,1000.0,194.6,17382.726528167725
0.00796,1.0,6860.0,1000.0,227.07,17364.711978912354
0.00801,1.0,6860.0,1000.0,68.03,17143.890605926514
0.00801,1.0,6860.0,1000.0,83.1,17129.697048187256
0.00801,1.0,6860.0,1000.0,105.98,17108.56639480591
0.00801,1.0,6860.0,1000.0,119.03,17096.721321105957
0.00801,1.0,6860.0,1000.0,133.19,17067.620193481445
0.00801,1.0,6860.0,1000.0,162.38,17058.48517227173
0.00801,1.0,6860.0,1000.0,169.31,17048.903038024902
0.00801,1.0,6860.0,1000.0,190.76,16997.494163513184
0.00801,1.0,6860.0,1000.0,194.6,16998.261783599854
0.00801,1.0,6860.0,1000.0,245.15,16940.800914764404
0.008,0.99,6860.0,1007.0,72.1,17219.099124908447
0.008,0.99,6860.0,1007.0,109.07,17188.301933288574
0.008,0.99,6860.0,1007.0,150.3,17143.165187835693
0.008,0.99,6860.0,1007.0,199.77,17094.28843307495
0.008,0.99,6860.0,1007.0,220.99,17041.109355926514
0.008,0.99,6960.0,1018.0,248.1,17022.540477752686
0.008,0.99,6860.0,1007.0,264.18,17012.35496902466
0.00799,1.0,6860.0,996.0,144.22,17224.90703201294
0.00799,1.0,6860.0,996.0,154.26,17221.847957611084
0.00799,1.0,6860.0,996.0,164.23,17197.103900909424
0.00799,1.0,6860.0,996.0,174.36,17201.34463119507
0.00799,1.0,6860.0,1001.0,184.64,17159.12438583374
0.00799,1.0,6860.0,996.0,214.86,17146.967929840088
0.00799,1.0,6860.0,1001.0,225.12,17135.363521575928
0.00799,1.0,6860.0,996.0,235.21999999999997,17130.545650482178
0.00799,1.0,6860.0,996.0,250.14,17094.21657562256
0.008,1.0,6860.0,980.0,129.19,17160.29691696167
0.008,1.0,6860.0,980.0,144.22,17135.377208709717
0.008,1.0,6860.0,980.0,198.65,17081.44990158081
0.008,1.0,6860.0,1001.0,255.28,17009.640354156494
0.008,1.0,6860.0,980.0,256.3,16999.980659484863
0.008,1.0,6860.0,980.0,269.13,17004.760890960693
0.00785,1.0,6669.999999999999,1068.0,73.1,18449.980785369873
0.00785,1.0,6770.000000000001,1028.0,112.01,18373.960163116455
0.00785,1.0,6370.0,1057.0,154.31,18346.574489593506
0.00785,1.0,6669.999999999999,1057.0,171.41,18337.78849029541
0.00785,1.0,6860.0,1068.0,198.65,18296.07580947876
0.00785,1.0,6960.0,1040.0,215.99000000000004,18271.131008148193
0.00785,1.0,7060.0,1040.0,237.2,18258.89471054077
