Diameter,Length,Pressure,Mass flux,Temperature,CHF
0.01,1.0,9800.0,676.0,117.81999999999998,2057.0992991924286
0.01,1.0,9800.0,849.0,121.14,2300.0013587474823
0.01,1.0,9800.0,1001.0,123.51,2515.786123394966
0.01,1.0,9800.0,1164.0,125.40000000000002,2760.9317266345024
0.01,1.0,9800.0,1313.0,124.92,3018.947838664055
0.01,1.0,9800.0,1352.0,114.97000000000001,3157.383179664612
0.01,1.0,9800.0,1514.0,116.16,3421.2367380857468
0.01,1.0,9800.0,1861.0,133.66000000000003,3681.3626614809036
0.01,1.0,9800.0,1945.9999999999998,125.63,3886.648825645447
0.01,1.0,9800.0,2331.0,135.78000000000003,4175.2784432172775
0.01,1.0,9800.0,2536.0,135.08,4391.4570434093475
0.01,1.0,9800.0,2791.0,139.08,4573.268891453743
0.01,2.0,9800.0,474.0,103.56,1188.0280160307884
0.01,2.0,9800.0,517.0,99.74,1230.20269587636
0.01,2.0,9800.0,581.0,95.45,1291.052741318941
0.01,2.0,9800.0,619.0,95.93,1322.5450154244897
0.01,2.0,9800.0,662.0,99.74,1352.2289126515386
0.01,2.0,9800.0,842.0,104.51,1505.8217844665048
0.01,2.0,9800.0,871.0,105.7,1531.9057978391645
0.01,2.0,9800.0,887.9999999999999,114.02,1531.3286938071249
0.01,2.0,9800.0,972.9999999999999,113.55000000000001,1614.6284388303754
0.01,2.0,9800.0,1150.0,121.14,1779.7487451434133
0.01,2.0,9800.0,1422.0000000000002,139.31,1998.5929433107374
0.01,2.0,9800.0,1787.0,141.19,2251.281080007553
0.01,2.0,9800.0,1956.0000000000002,143.30000000000004,2334.1199699640274
0.01,2.0,9800.0,2031.0,147.05,2357.459326863289
0.01,2.0,9800.0,2473.0,157.56,2542.929643332958
0.01,2.0,9800.0,2745.0,161.04,2639.645715177059
0.01,2.0,9800.0,506.0,173.76,1141.4266737401485
0.01,2.0,9800.0,701.0,188.4,1245.6668755114079
0.01,2.0,9800.0,871.0,199.7,1335.371509104967
0.01,2.0,9800.0,871.0,196.55,1345.5210559666154
0.01,2.0,9800.0,1069.0,199.93,1493.8529719710348
0.01,2.0,9800.0,1115.0,197.0,1545.6627433300016
0.01,2.0,9800.0,1178.0,194.74,1609.505509495735
0.01,2.0,9800.0,1497.0,198.13,1805.216163575649
0.01,2.0,9800.0,1638.0,201.27,1869.1685841083524
0.01,2.0,9800.0,2016.0,206.87,2034.8267335891721
0.01,2.0,9800.0,2027.0,211.32,2017.8746285438535
0.01,2.0,9800.0,3102.0,219.92,2314.0388047099113
0.01,2.0,9800.0,3138.0,223.64,2290.24718105793
0.01,2.0,9800.0,3325.0,217.72,2403.3785883188248
0.01,2.0,9800.0,3516.0,219.92,2439.9099023342133
0.01,2.0,9800.0,3799.0,223.64,2488.204752802849
0.01,2.0,9800.0,4188.0,226.91,2577.5261328816414
0.01,2.0,9800.0,4252.0,224.51000000000002,2628.989457786083
0.01,2.0,9800.0,4418.0,224.51000000000002,2689.719420194626
0.01,2.0,9800.0,4800.0,230.16,2737.2160175442696
0.01,2.0,9800.0,5221.0,234.89,2777.883985042572
0.01001,3.0,9800.0,481.0,208.43,698.0270485579967
0.01001,3.0,9800.0,541.0,211.98,718.4023252278566
0.01001,3.0,9800.0,558.0,205.97999999999996,736.621321618557
0.01001,3.0,9800.0,636.0,207.76,772.4418759644032
0.01001,3.0,9800.0,714.0,203.74,817.595512226224
0.01001,3.0,9800.0,816.0,198.35,882.3310413062572
0.01001,3.0,9800.0,911.0,202.84,928.3380262553692
0.01001,3.0,9800.0,1063.0,199.48,1024.1480309665203
0.01001,3.0,9800.0,1247.0,202.16999999999996,1111.4267725646496
0.01001,3.0,9800.0,1395.0,207.54,1172.1495269238949
0.01001,3.0,9800.0,1515.0000000000002,206.87,1230.9103116095066
0.01001,3.0,9800.0,1659.0,209.76,1283.2557790577412
0.01001,3.0,9800.0,2041.0,205.30999999999997,1443.713781058788
0.01001,3.0,9800.0,3206.0,213.31,1761.200133860111
0.01001,3.0,9800.0,3488.0,213.31,1841.888571321964
0.01001,3.0,9800.0,3841.0,212.2,1951.1406677961347
0.01001,3.0,9800.0,4173.0,211.54,2053.599561214447
0.01001,3.0,9800.0,4744.0,213.75,2194.135665178299
0.01001,3.0,9800.0,5045.0,214.64,2270.3750492334366
0.01001,3.0,9800.0,5214.0,204.19000000000003,2408.0994005203247
0.01001,3.0,9800.0,5458.0,214.86,2391.407091975212
0.01001,3.0,9800.0,6838.0,214.64,2794.2036221027374
0.01001,3.0,9800.0,7420.000000000001,210.65,2989.2218433618546
0.01001,3.0,9800.0,473.0,288.19,506.5196649059653
0.01001,3.0,9800.0,869.0,286.51,635.0990912020206
0.01001,3.0,9800.0,1179.0,286.51,725.8500805050135
0.01001,3.0,9800.0,1571.0000000000002,285.19,847.228416338563
0.01001,3.0,9800.0,2281.0,286.88,1040.1762787997723
0.01001,3.0,9800.0,3297.0,283.49,1337.0335779190061
0.01001,3.0,9800.0,3967.9999999999995,286.13,1421.0154804587362
0.01001,3.0,9800.0,4628.0,285.57,1517.0810641944406
0.01001,3.0,9800.0,5563.0,290.05,1636.4291072487829
0.01,4.966,9800.0,527.0,210.21,437.88429360091686
0.01,4.966,9800.0,595.0,207.98,455.14770586043596
0.01,4.966,9800.0,704.0,204.19000000000003,483.1936889067292
0.01,4.966,9800.0,1047.0,203.29,569.3465753793716
0.01,4.966,9800.0,1235.0,208.65000000000003,616.0814582854509
0.01,4.966,9800.0,1603.0,206.2,736.6825516968966
0.01,4.966,9800.0,2193.0,207.76,961.7564598321915
0.01,4.966,9800.0,2639.0,213.09,1079.4455780088902
0.01,4.966,9800.0,3771.0,207.98,1350.1569052040575
0.01,4.966,9800.0,4570.0,209.32000000000002,1515.1578952968118
0.01,4.966,9800.0,6632.0,208.2,1905.7308773994444
0.01,4.966,9800.0,602.0,288.38,324.7408042307943
0.01,4.966,9800.0,708.0,289.49,333.04575664177537
0.01,4.966,9800.0,747.0,288.38,339.0794785991311
0.01,4.966,9800.0,1001.0,289.49,363.2984283864498
0.01,4.966,9800.0,1164.0,288.94,379.7743037492037
0.01,4.966,9800.0,1861.0,289.49,471.95528568327427
0.01,4.966,9800.0,2466.0,289.86,625.5790600925684
0.01,4.966,9800.0,2703.0,289.49,699.554119810462
0.01,4.966,9800.0,2979.0,288.56,783.6437596827745
