learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,200,128,8.795101773204596,0.9700877362015633
0.001,3,250,128,1130.6538634267724,-119.898620892706
0.001,3,300,128,9.336240220591604,0.9690150352688729
0.001,3,350,128,970.7188529966677,-67.76429698702928
0.001,4,200,128,9.092124458941475,0.9653477682598512
0.001,4,250,128,970.7188529966677,-67.76429698702928
0.001,4,300,128,970.7188529966677,-67.76429698702928
0.001,4,350,128,970.7188529966677,-67.76429698702928
0.001,5,200,128,970.7188529966677,-67.76429698702928
0.001,5,250,128,8.765445763096045,0.9621234775161448
0.001,5,300,128,970.7188529966677,-67.76429698702928
0.001,5,350,128,970.7188529966677,-67.76429698702928
