l,p,m,d,t,c
3.0,9810.0,1003.0,0.00801,82.88,1154.0
1.219,202.0,299.7,0.0093,95.44,865.0
2.0,9800.0,1495.0,0.00795,78.47,2070.0
2.08,3933.0,463.0,0.00776,103.46,937.0
0.25,6860.0,2991.0,0.00782,219.9,5891.0
4.966,15690.0,4107.0,0.01,325.07,987.0
2.0,14710.0,3441.0,0.00578,137.7,2620.0
3.0,17650.0,1044.0,0.00781,328.24,387.0
2.25,2373.0,290.0,0.0131,30.53,1000.0
0.96,3070.0,1289.0,0.00996,128.15,4013.0
6.0,9800.0,2770.0,0.01075,259.82,873.0
5.0,9990.0,501.5,0.00811,210.47,345.0
6.0,13730.0,1990.0,0.00778,87.54,920.0
3.0,11760.0,3314.0,0.00578,177.73,1418.0
3.49,12750.0,999.0,0.008,149.0,770.0
4.0,7840.0,4972.0,0.00585,159.04,1829.0
3.66,14000.0,1250.6,0.00811,236.99,652.0
3.0,17650.0,1000.0,0.00801,119.27,886.0
0.792,9800.0,3197.0,0.00607,172.38,4090.0
2.25,2128.0,188.0,0.01,51.87,506.0
3.12,3079.0,450.0,0.00993,119.14,775.0
2.08,2726.0,678.0,0.00394,58.13,760.0
3.05,6870.0,4055.6,0.00925,271.2,1630.0
3.0,13720.0,1493.0,0.00578,179.38,809.0
1.0,7840.0,962.0,0.01105,118.67,2969.0
0.99,6860.0,2019.0,0.008,275.18,2500.0
0.79,9800.0,983.0,0.008,51.59,3343.0
3.8,17650.0,1701.0,0.0104,200.66,1116.0
3.0,19610.0,1737.0,0.01001,347.73,632.0
2.0,5880.0,1511.0,0.0108,259.87,1767.0
2.0,17650.0,985.0,0.00795,76.89,1383.0
5.0,13980.0,2017.7,0.00811,326.81,385.0
0.78,14700.0,1603.0,0.008,311.31,1408.0
2.0,16000.0,2506.0,0.01,153.47,2939.0
2.0,3001.0,864.0,0.0131,50.12,2536.0
2.0,2000.0,500.6,0.00811,192.86,872.0
4.0,13720.0,3318.0,0.00585,319.89,550.0
1.65,17650.0,3811.0,0.00798,331.18,1721.0
3.0,5000.0,503.0,0.01001,122.94,911.0
1.0,16000.0,1166.0,0.01,121.35,3104.0
3.66,6870.0,4111.1,0.00921,234.05,1715.0
2.0,13720.0,899.0,0.01,111.1,1480.0
6.0,14710.0,1409.0,0.0151,280.73,582.0
1.4,2989.0,4034.0,0.008,156.65,3797.0
2.0,11790.0,3305.6,0.00805,260.17,1606.0
1.6,14700.0,3191.0,0.008,244.77,2315.0
1.04,2628.0,203.0,0.00993,98.17,1036.0
3.49,7850.0,999.0,0.008,128.71,972.0
3.0,9900.0,2000.0,0.00782,63.67,1900.0
0.914,10343.0,3607.0,0.00622,116.63,5394.4
6.0,5010.0,1515.2,0.00798,164.9,734.0
1.57,7850.0,3180.0,0.008,225.86,2360.0
4.966,7000.0,4366.0,0.01,187.86,1908.0
3.0,14000.0,2135.0,0.01001,314.43,734.0
2.08,2020.0,1909.0,0.00394,54.01,1458.0
6.0,9810.0,1937.0,0.00779,232.41,570.0
3.658,17354.0,2040.1,0.0134,347.45,693.6
0.79,7850.0,989.0,0.008,176.23,2686.0
1.57,17700.0,1595.0,0.008,203.85,1705.0
1.8,2995.0,1994.0,0.008,196.44,2041.0
7.0,17650.0,1502.0,0.0078,56.66,723.0
1.5,696.0,692.0,0.01,87.73,1524.0
4.966,14000.0,2266.0,0.01,317.4,510.0
2.6,14710.0,2750.0,0.0077,179.92,1884.0
1.65,17650.0,4004.0,0.00792,333.13,1721.0
3.658,13869.0,2039.3,0.0134,308.77,781.9
4.0,15690.0,1499.0,0.00585,260.3,462.0
3.0,18000.0,5540.0,0.01001,257.94,2921.0
5.03,17700.0,2648.0,0.008,330.3,560.0
1.57,9800.0,1625.0,0.008,289.86,1317.0
6.0,17650.0,3898.0,0.00778,200.66,1430.0
1.0,13730.0,1000.0,0.0108,279.98,1420.0
3.0,7000.0,3056.0,0.01001,265.83,1510.0
3.658,17947.0,2042.7,0.0134,349.18,687.3
2.5,1471.0,352.0,0.0131,31.76,1013.0
1.93,6895.0,3769.7,0.0128,271.84,1996.9
1.6,14700.0,3994.0,0.008,321.25,1586.0
1.25,2883.0,101.0,0.01,38.06,506.0
1.0,1128.0,2642.0,0.00601,75.97,4378.0
0.778,7840.0,2200.0,0.00807,223.8,3130.0
3.66,14000.0,1514.8,0.00811,236.12,743.0
4.0,19610.0,3328.0,0.00585,322.51,745.0
3.0,17650.0,1010.0,0.00781,143.44,850.0
1.97,4900.0,1573.0,0.008,227.37,1730.0
6.0,14010.0,3036.2,0.00798,326.25,439.0
3.048,7067.1,4125.7,0.00932,245.74,1862.486
4.966,17650.0,1465.0,0.01,252.48,610.0
3.0,15690.0,2041.0,0.00803,321.57,626.0
1.0,14710.0,1499.0,0.00581,301.14,1104.0
1.0,6860.0,996.0,0.00799,174.36,2710.0
1.0,17650.0,1000.0,0.00801,119.27,2050.0
6.0,17650.0,2013.0,0.00778,270.54,530.0
6.0,13720.0,1000.0,0.0082,201.02,402.0
0.3,101.3,25.8,0.006,10.6,280.0
3.49,12750.0,2004.0,0.008,188.79,1076.0
2.0,16000.0,502.2,0.00811,327.71,364.0
1.0,1128.0,2501.0,0.00601,71.44,4174.0
0.99,13730.0,2008.0,0.008,106.66,3950.0
1.5,7944.0,286.0,0.00998,94.41,1038.0
1.0,915.0,100.0,0.012,87.14,589.0
1.0,3040.0,571.0,0.00607,48.77,1947.0
1.0,3109.0,159.0,0.01,31.24,995.0
0.79,9800.0,3208.0,0.00607,209.98,3332.0
0.91,6895.0,3783.0,0.00622,160.25,4606.0
4.0,14710.0,4982.0,0.00585,218.78,1578.0
3.0,13730.0,4000.0,0.00801,241.8,1809.0
3.0,16000.0,1543.0,0.01001,326.01,562.0
1.0,17650.0,979.0,0.008,256.27,1300.0
5.0,17980.0,4003.0,0.00811,256.71,1356.0
1.57,9800.0,2195.0,0.008,132.95,2732.0
2.0,14000.0,1380.0,0.01,112.48,1987.0
1.219,114.0,92.2,0.0093,68.57,376.0
6.0,13730.0,1999.0,0.00803,47.16,1040.0
2.0,7010.0,2995.2,0.00811,185.93,2532.0
3.0,10000.0,395.0,0.01001,213.0,571.0
6.0,13730.0,3973.0,0.00778,317.87,650.0
6.0,15690.0,1986.0,0.00803,313.6,383.0
2.0,2059.0,1910.0,0.01,43.09,3273.0
3.0,17550.0,1993.0,0.00803,74.93,1933.0
1.0,14727.0,1791.3,0.008,304.23,1444.9
1.0,6860.0,1007.0,0.0108,220.99,2653.0
