m,m.1,kPa,Â°C,kg m-2s-1,kW m-2
0.00801,3,9810,82.88,1003,1154
0.0093,1.219,202,95.44,299.7,865
0.00795,2,9800,78.47,1495,2070
0.00776,2.08,3933,103.46,463,937
0.00782,0.25,6860,219.9,2991,5891
0.01,4.966,15690,325.07,4107,987
0.00578,2,14710,137.7,3441,2620
0.00781,3,17650,328.24,1044,387
0.0131,2.25,2373,30.53,290,1000
0.00996,0.96,3070,128.15,1289,4013
0.01075,6,9800,259.82,2770,873
0.00811,5,9990,210.47,501.5,345
0.00778,6,13730,87.54,1990,920
0.00578,3,11760,177.73,3314,1418
0.008,3.49,12750,149,999,770
0.00585,4,7840,159.04,4972,1829
0.00811,3.66,14000,236.99,1250.6,652
0.00801,3,17650,119.27,1000,886
0.00607,0.792,9800,172.38,3197,4090
0.01,2.25,2128,51.87,188,506
0.00993,3.12,3079,119.14,450,775
0.00394,2.08,2726,58.13,678,760
0.00925,3.05,6870,271.2,4055.6,1630
0.00578,3,13720,179.38,1493,809
0.01105,1,7840,118.67,962,2969
0.008,0.99,6860,275.18,2019,2500
0.008,0.79,9800,51.59,983,3343
0.0104,3.8,17650,200.66,1701,1116
0.01001,3,19610,347.73,1737,632
0.0108,2,5880,259.87,1511,1767
0.00795,2,17650,76.89,985,1383
0.00811,5,13980,326.81,2017.7,385
0.008,0.78,14700,311.31,1603,1408
0.01,2,16000,153.47,2506,2939
0.0131,2,3001,50.12,864,2536
0.00811,2,2000,192.86,500.6,872
0.00585,4,13720,319.89,3318,550
0.00798,1.65,17650,331.18,3811,1721
0.01001,3,5000,122.94,503,911
0.01,1,16000,121.35,1166,3104
0.00921,3.66,6870,234.05,4111.1,1715
0.01,2,13720,111.1,899,1480
0.0151,6,14710,280.73,1409,582
0.008,1.4,2989,156.65,4034,3797
0.00805,2,11790,260.17,3305.6,1606
0.008,1.6,14700,244.77,3191,2315
0.00993,1.04,2628,98.17,203,1036
0.008,3.49,7850,128.71,999,972
0.00782,3,9900,63.67,2000,1900
0.00622,0.914,10343,116.63,3607,5394.4
0.00798,6,5010,164.9,1515.2,734
0.008,1.57,7850,225.86,3180,2360
0.01,4.966,7000,187.86,4366,1908
0.01001,3,14000,314.43,2135,734
0.00394,2.08,2020,54.01,1909,1458
0.00779,6,9810,232.41,1937,570
0.0134,3.658,17354,347.45,2040.1,693.6
0.008,0.79,7850,176.23,989,2686
0.008,1.57,17700,203.85,1595,1705
0.008,1.8,2995,196.44,1994,2041
0.0078,7,17650,56.66,1502,723
0.01,1.5,696,87.73,692,1524
0.01,4.966,14000,317.4,2266,510
0.0077,2.6,14710,179.92,2750,1884
0.00792,1.65,17650,333.13,4004,1721
0.0134,3.658,13869,308.77,2039.3,781.9
0.00585,4,15690,260.3,1499,462
0.01001,3,18000,257.94,5540,2921
0.008,5.03,17700,330.3,2648,560
0.008,1.57,9800,289.86,1625,1317
0.00778,6,17650,200.66,3898,1430
0.0108,1,13730,279.98,1000,1420
0.01001,3,7000,265.83,3056,1510
0.0134,3.658,17947,349.18,2042.7,687.3
0.0131,2.5,1471,31.76,352,1013
0.0128,1.93,6895,271.84,3769.7,1996.9
0.008,1.6,14700,321.25,3994,1586
0.01,1.25,2883,38.06,101,506
0.00601,1,1128,75.97,2642,4378
0.00807,0.778,7840,223.8,2200,3130
0.00811,3.66,14000,236.12,1514.8,743
0.00585,4,19610,322.51,3328,745
0.00781,3,17650,143.44,1010,850
0.008,1.97,4900,227.37,1573,1730
0.00798,6,14010,326.25,3036.2,439
0.00932,3.048,7067.1,245.74,4125.7,1862.486
0.01,4.966,17650,252.48,1465,610
0.00803,3,15690,321.57,2041,626
0.00581,1,14710,301.14,1499,1104
0.00799,1,6860,174.36,996,2710
0.00801,1,17650,119.27,1000,2050
0.00778,6,17650,270.54,2013,530
0.0082,6,13720,201.02,1000,402
0.006,0.3,101.3,10.6,25.8,280
0.008,3.49,12750,188.79,2004,1076
0.00811,2,16000,327.71,502.2,364
0.00601,1,1128,71.44,2501,4174
0.008,0.99,13730,106.66,2008,3950
0.00998,1.5,7944,94.41,286,1038
0.012,1,915,87.14,100,589
0.00607,1,3040,48.77,571,1947
0.01,1,3109,31.24,159,995
0.00607,0.79,9800,209.98,3208,3332
0.00622,0.91,6895,160.25,3783,4606
0.00585,4,14710,218.78,4982,1578
0.00801,3,13730,241.8,4000,1809
0.01001,3,16000,326.01,1543,562
0.008,1,17650,256.27,979,1300
0.00811,5,17980,256.71,4003,1356
0.008,1.57,9800,132.95,2195,2732
0.01,2,14000,112.48,1380,1987
0.0093,1.219,114,68.57,92.2,376
0.00803,6,13730,47.16,1999,1040
0.00811,2,7010,185.93,2995.2,2532
0.01001,3,10000,213,395,571
0.00778,6,13730,317.87,3973,650
0.00803,6,15690,313.6,1986,383
0.01,2,2059,43.09,1910,3273
0.00803,3,17550,74.93,1993,1933
0.008,1,14727,304.23,1791.3,1444.9
0.0108,1,6860,220.99,1007,2653
0.00801,3,9810,272.94,4000,1325
0.00558,0.432,7140,207.42,2052,4450
0.00993,3.12,588,90.6,291,495
0.01,2,17650,104,556,974
0.0129,0.96,1785,97.66,539,2844
0.0082,5.37,13720,310.99,2268,473
0.00811,2,5010,164.21,2013.5,2453
0.00607,0.79,7850,242.12,2209,2676
0.00999,0.6,941,41.81,251,1979
0.00799,1,9810,284.9,2002,1800
0.01001,3,11760,303.76,1310,653
0.01,2,7000,133.23,948,1888
0.006,0.8,827,28.67,202,837
0.00799,3,6860,245.15,1001,883
0.01,2,10000,107.02,475,1121
0.008,3.5,2999,126.71,1001,959
0.01,4.966,15690,245.37,2476,999
0.00585,4,13720,57.42,1499,886
0.00558,1.727,7490,212.17,4050,2460
0.00796,3,17650,217.06,2000,1226
0.0131,1.5,2746,37.25,432,2061
0.01,1,11760,104.96,743,2636
0.008,1.57,7850,220.86,4000,2585
0.01001,3,7000,262.43,471,619
0.01,1.5,3491,106.26,648,2044
0.0108,1,9810,120.05,1994.4,4442
0.0082,5.37,11760,299.7,1510,347
0.00811,2,3010,133.52,1505.1,2187
0.00781,3,9900,147.12,1984,1577
0.00803,4,17650,260.24,2008,829
