feature_to_remove,RMSE_wind,MAE_wind,,Sigma_wind,RMSE_solar,MAE_solar,,Sigma_solar,RMSE_load,MAE_load,,Sigma_load
DHI_DNI,0.043324291,0.032185234,,0.034590468,0.084374862,0.054053247,,0.08226958,0.066557456,0.054764047,,0.09007269
DHI_GHI,0.041216087,0.027802737,,0.05958605,0.091072333,0.053774927,,0.03643464,0.082713419,0.06287835,,0.04403018
DHI_Dew Point,0.050883459,0.03568267,,0.25417218,0.072353506,0.046156254,,0.107900575,0.077546616,0.055793084,,0.018808274
DHI_Solar Zenith Angle,0.047839689,0.03040543,,0.2798364,0.080489535,0.048480414,,0.004732079,0.076842847,0.060816765,,0.035954986
DHI_Wind Speed,0.066844744,0.049096517,,0.23075786,0.097342306,0.06494027,,0.15778767,0.070599147,0.057756748,,0.08833603
DHI_Relative Humidity,0.034056622,0.022415273,,0.36791974,0.080987725,0.054222688,,0.18294896,0.061007762,0.04746346,,0.061420236
DHI_Temperature,0.032995261,0.02167438,,0.20182244,0.083092139,0.05248269,,0.19608656,0.063100268,0.04858966,,0.041641925
DNI_GHI,0.037403863,0.021365706,,0.36264107,0.093772607,0.05413934,,0.14556469,0.080449386,0.061135814,,0.017196732
DNI_Dew Point,0.044622186,0.030718626,,0.012053085,0.08000508,0.05091149,,0.04610271,0.092671152,0.06925585,,0.1764462
DNI_Solar Zenith Angle,0.053434373,0.03323356,,0.42180353,0.103846516,0.057872225,,0.04171484,0.083420652,0.061513912,,0.011107227
DNI_Wind Speed,0.079171044,0.059473194,,0.37097517,0.092057153,0.060016125,,0.10379807,0.073169144,0.060944393,,0.098150656
DNI_Relative Humidity,0.04295164,0.027517388,,0.5464284,0.098497832,0.062496465,,0.23974152,0.097551686,0.06987449,,0.13763204
DNI_Temperature,0.037473738,0.02074514,,0.41075402,0.095018056,0.056761105,,0.2052563,0.068267096,0.053709444,,0.050020285
GHI_Dew Point,0.041924848,0.02955631,,0.024778048,0.086711226,0.057369415,,0.2123693,0.070622423,0.054022163,,0.05386008
GHI_Solar Zenith Angle,0.048811373,0.033761933,,0.30632073,0.084270787,0.055099335,,0.13545114,0.084705674,0.063918896,,0.004961665
GHI_Wind Speed,0.078536375,0.05988433,,0.2830553,0.099625165,0.06684584,,0.07161007,0.074841071,0.065079235,,0.2900797
GHI_Relative Humidity,0.042813632,0.03140517,,0.14385396,0.084724794,0.058133714,,0.22760001,0.075924444,0.05622023,,0.01465508
GHI_Temperature,0.032721835,0.022154603,,0.119694866,0.102215543,0.060542013,,0.2412148,0.068872643,0.053864196,,0.028919246
Dew Point_Solar Zenith Angle,0.070812635,0.049500763,,0.34861797,0.110623295,0.066684455,,0.026699737,0.063152181,0.050845303,,0.14047444
Dew Point_Wind Speed,0.047053321,0.029452793,,0.4938751,0.078143794,0.048883498,,0.087809555,0.075309521,0.056797296,,0.09513389
Dew Point_Relative Humidity,0.039056071,0.024158232,,0.44716796,0.073984781,0.049169634,,0.18000853,0.061225613,0.05008623,,0.12623692
Dew Point_Temperature,0.029328501,0.019724984,,0.015241192,0.098596495,0.058603402,,0.23822737,0.067700109,0.057712212,,0.035437178
Solar Zenith Angle_Wind Speed,0.058486315,0.044678718,,0.11502107,0.089832404,0.05782342,,0.1087182,0.064114025,0.05436346,,0.15729077
Solar Zenith Angle_Relative Humidity,0.054581958,0.03607779,,0.3201724,0.103976031,0.06302058,,0.08895157,0.065743888,0.052132227,,0.06661828
Solar Zenith Angle_Temperature,0.032565999,0.021701552,,0.3684924,0.079207179,0.04649637,,0.10751152,0.064851799,0.052300908,,0.0362681
Wind Speed_Relative Humidity,0.071071751,0.054979693,,0.3573779,0.077562167,0.04986444,,0.15970977,0.065504217,0.051134173,,0.07756089
Wind Speed_Temperature,0.035223937,0.02243931,,0.3186526,0.074803795,0.048089035,,0.16357349,0.073271672,0.058887504,,0.06633742
Relative Humidity_Temperature,0.037795905,0.018031955,,0.38287085,0.11918172,0.06575616,,0.29699883,0.075148645,0.06077781,,0.013261019
