learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.0005,3,200,32,18.713542878253094,0.877564116453892
0.0005,3,200,64,14.131520320578355,0.9216819006564914
0.0005,3,200,96,12.484744229191836,0.9300583261513239
0.0005,3,200,128,11.28646477372383,0.9478704813061152
0.0005,3,250,32,18.954389201839973,0.8778917438760675
0.0005,3,250,64,19.135918973266463,0.8697580396052884
0.0005,3,250,96,12.366959164755393,0.9393207332436359
0.0005,3,250,128,1051.478127696655,-48.27386487895789
0.0005,4,200,32,20.473076228310386,0.8731146575239613
0.0005,4,200,64,14.174652952995217,0.9192299370995372
0.0005,4,200,96,13.319150694383675,0.9278986723716658
0.0005,4,200,128,11.725407141184338,0.9564570485050782
0.0005,4,250,32,18.54884629457648,0.8656895101405998
0.0005,4,250,64,15.430513180074279,0.9180105651222199
0.0005,4,250,96,14.123423274436828,0.9347903108242118
0.0005,4,250,128,1225.6400753858927,-86.00249994176782
0.001,3,200,32,19.222115868354546,0.8775875721581369
0.001,3,200,64,13.75039626726338,0.93012472168923
0.001,3,200,96,13.514757266586933,0.9281654079324146
0.001,3,200,128,11.327965770989664,0.9486526267696747
0.001,3,250,32,20.786958872945224,0.870724648668407
0.001,3,250,64,14.962481463565599,0.92655468013078
0.001,3,250,96,12.483638729971187,0.9355550988659346
0.001,3,250,128,9.659454524675736,0.9676116963160032
0.001,4,200,32,20.822269180920795,0.8591780454390526
0.001,4,200,64,14.86318521249694,0.9246909007565852
0.001,4,200,96,12.675856690137834,0.9458869279477397
0.001,4,200,128,11.394036615778669,0.9558649361385487
0.001,4,250,32,19.369630899635236,0.8766975159662902
0.001,4,250,64,13.875402345751509,0.9319140397077789
0.001,4,250,96,12.557324663978529,0.9437905723172578
0.001,4,250,128,11.284414239580071,0.9342597748764943
