Diameter,length,Pressure,Mass flux,Temperature,CHF
0.00775,1.008,6960.0,500.0,51.75000000000001,2042.4294625669718
0.00775,1.008,6860.0,500.0,76.17,1925.3616144657135
0.00775,1.008,6860.0,500.0,104.08,1881.0525265932083
0.00775,1.008,6860.0,500.0,114.06,1828.285140991211
0.00775,1.008,6860.0,500.0,204.9,1400.9097167998552
0.00775,1.008,6860.0,500.0,222.07999999999998,1373.1605401337147
0.00801,1.0,6860.0,500.0,62.03999999999999,2425.628817975521
0.00801,1.0,6860.0,500.0,79.99,2205.3985512256622
0.00801,1.0,6860.0,500.0,131.07,1806.6397168934345
0.00801,1.0,6860.0,500.0,146.09,1710.5462974011898
0.00801,1.0,6860.0,500.0,173.44,1656.2875961661339
0.00801,1.0,6860.0,500.0,250.14,1176.9176916480064
0.00801,1.002,6960.0,501.0,80.98,2033.424177467823
0.00801,1.002,6860.0,501.0,99.09,2090.0718586444855
0.00801,1.002,6960.0,496.0,117.16,2119.1052058935165
0.00801,1.002,6960.0,501.0,137.22,1970.7580261230469
0.00801,1.002,6960.0,501.0,152.19,1865.1989038437605
0.00801,1.002,6860.0,501.0,214.86,1387.6925538629293
0.00801,1.002,6770.0,501.0,230.15,1406.3345356434584
0.00801,1.002,6860.0,501.0,241.16,1388.8129178732634
0.00801,1.002,6860.0,501.0,255.28,1359.777746975422
0.008,1.0,6860.0,502.0,164.23,1768.3544628620148
0.008,1.0,6860.0,501.0,177.57,1728.6057842969894
0.008,1.0,6860.0,501.0,222.07999999999998,1499.9727874696255
0.008,1.0,6860.0,501.0,247.23,1342.044585943222
0.00775,1.008,6860.0,1000.0,50.76,3317.3214275836945
0.00775,1.008,6960.0,1000.0,96.02,3030.884770780802
0.00775,1.008,6960.0,1000.0,120.95,2751.6579631865025
0.00775,1.008,6860.0,1000.0,133.19,2506.110516369343
0.00775,1.008,6860.0,1000.0,153.32,2457.699505954981
0.00775,1.008,6860.0,1000.0,169.31,2409.5875739455223
0.00775,1.008,6860.0,1000.0,191.67,2293.4387375712395
0.00775,1.008,6860.0,1000.0,214.86,2421.974869400263
0.00775,1.008,7060.0,1000.0,239.10999999999999,2122.8531260192394
0.00775,1.008,6860.0,1000.0,269.13,1919.7772799879313
0.00796,1.0,6860.0,1000.0,126.12,2964.2643051743507
0.00796,1.0,6860.0,1000.0,181.45,2366.683768391609
0.00796,1.0,6860.0,1000.0,183.5,2373.914428651333
0.00796,1.0,6860.0,1000.0,194.6,2288.584828078747
0.00796,1.0,6860.0,1000.0,227.06999999999996,2163.2111178338528
0.00801,1.0,6860.0,1000.0,68.03,3264.00909280777
0.00801,1.0,6860.0,1000.0,83.1,3107.8058485090733
0.00801,1.0,6860.0,1000.0,105.98000000000002,3016.998865097761
0.00801,1.0,6860.0,1000.0,119.03,2856.6091667711735
0.00801,1.0,6860.0,1000.0,133.19,2976.0206181406975
0.00801,1.0,6860.0,1000.0,162.38,2647.8058834671974
0.00801,1.0,6860.0,1000.0,169.31,2462.7151838243008
0.00801,1.0,6860.0,1000.0,190.76,2281.4749577343464
0.00801,1.0,6860.0,1000.0,194.6,2340.890508711338
0.00801,1.0,6860.0,1000.0,245.15,2041.848576784134
0.008,0.99,6860.0,1007.0,72.1,3232.8843421936035
0.008,0.99,6860.0,1007.0,109.07,3114.8208891153336
0.008,0.99,6860.0,1007.0,150.3,2787.1856456696987
0.008,0.99,6860.0,1007.0,199.77,2439.4203230142593
0.008,0.99,6860.0,1007.0,220.99,2161.7524133324623
0.008,0.99,6960.0,1018.0,248.09999999999997,2158.016507834196
0.008,0.99,6860.0,1007.0,264.18,1992.3168805390596
0.00799,1.0,6860.0,996.0000000000001,144.22,2411.106566131115
0.00799,1.0,6860.0,996.0000000000001,154.26,2820.2263002693653
0.00799,1.0,6860.0,996.0000000000001,164.23,2784.792374789715
0.00799,1.0,6860.0,996.0000000000001,174.36,2399.4118281304836
0.00799,1.0,6860.0,1001.0,184.64,2390.679124891758
0.00799,1.0,6860.0,996.0000000000001,214.86,2217.729849934578
0.00799,1.0,6860.0,1001.0,225.12000000000003,2173.5078681111336
0.00799,1.0,6860.0,996.0000000000001,235.22,2035.5407900959253
0.00799,1.0,6860.0,996.0000000000001,250.14,2137.464414834976
0.008,1.0,6860.0,980.0,129.19,2578.4593847095966
0.008,1.0,6860.0,980.0,144.22,2712.4819103479385
0.008,1.0,6860.0,980.0,198.65,2244.8786170482635
0.008,1.0,6860.0,1001.0,255.28,2084.0209918916225
0.008,1.0,6860.0,980.0,256.3,2046.1591462045908
0.008,1.0,6860.0,980.0,269.13,2081.718688905239
0.00785,1.0,6670.0,1068.0,73.1,3168.698984116316
0.00785,1.0,6770.0,1028.0,112.01,2770.470724314451
0.00785,1.0,6370.0,1057.0,154.31,2800.5898935198784
0.00785,1.0,6670.0,1057.0,171.41,2478.7431259453297
0.00785,1.0,6860.0,1068.0,198.65,2256.0891226530075
0.00785,1.0,6960.0,1040.0,215.99,2219.606706380844
0.00785,1.0,7060.0,1040.0,237.20000000000002,2185.9058909118176
0.00785,1.0,6960.0,1034.0,259.19,2150.162588775158
0.00775,1.008,6960.0,2000.0,55.82,4613.724617600441
0.00775,1.008,7160.0,2000.0,106.99,3866.099834918976
0.00775,1.008,6960.0,2000.0,128.98,3836.540418624878
0.00775,1.008,6860.0,2000.0,152.16,3685.910674184561
0.00775,1.008,6770.0,2000.0,177.42,3638.1716247200966
0.00775,1.008,6860.0,2000.0,258.13,3047.81960272789
0.00775,1.008,6860.0,2000.0,272.27,2654.0678643882275
0.00796,1.0,6860.0,2000.0,240.1,3034.2018806934357
0.00796,1.0,6860.0,2000.0,254.26,2804.252853065729
0.00796,1.0,6860.0,2000.0,271.29,2903.8011215925217
0.00801,1.0,6860.0,2000.0,64.91,4647.01328843832
0.00801,1.0,6860.0,2000.0,100.99,4452.195246040821
0.00801,1.0,6860.0,2000.0,103.13,4263.833778619766
0.00801,1.0,6860.0,2000.0,104.08,3932.001353800297
0.00801,1.0,6860.0,2000.0,120.21000000000001,4108.625817477703
0.00801,1.0,6860.0,2000.0,123.05,4082.70769149065
0.00801,1.0,6860.0,2000.0,135.07,4002.1805091500282
0.00801,1.0,6860.0,2000.0,136.25,4025.565265119076
0.00801,1.0,6860.0,2000.0,145.16,3925.9168031811714
0.00801,1.0,6860.0,2000.0,156.35,3981.006444633007
0.00801,1.0,6860.0,2000.0,158.21,3981.3222576975822
0.00801,1.0,6860.0,2000.0,254.26,2954.8150152266026
0.008,0.99,6860.0,2019.0,100.99,4195.822834432125
0.008,0.99,6860.0,2014.0,135.07,4157.998641729355
0.008,0.99,6860.0,2019.0,149.13,4197.059911966324
0.008,0.99,6860.0,2019.0,169.31,3737.4339022040367
0.008,0.99,6860.0,2014.0,201.78,3742.352390319109
0.008,0.99,6860.0,2014.0,230.09,3348.385461419821
