learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,200,128,34.47695136390206,0.8277025909386817
0.001,3,250,128,39.604610567586924,0.7338472253234538
0.001,3,300,128,745.3959313631758,-17.33273124693528
0.001,3,350,128,745.3959313631758,-17.33273124693528
0.001,4,200,128,43.145072255701436,0.8396733707745723
0.001,4,250,128,745.3959313631758,-17.33273124693528
0.001,4,300,128,43.94304167771186,0.7895941915987096
0.001,4,350,128,745.3959313631758,-17.33273124693528
0.001,5,200,128,62.287694675217466,0.7481297826391713
0.001,5,250,128,745.395911883081,-17.332730220417904
0.001,5,300,128,745.3959313631758,-17.33273124693528
0.001,5,350,128,745.3959313631758,-17.33273124693528
