learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,200,128,739.278589499202,-31.4995973543312
0.001,3,250,128,739.2791936367041,-31.4996581485332
0.001,3,300,128,302.7248693584609,-8.717870517533997
0.001,3,350,128,914.3946804143102,-67.52767182007996
0.001,4,200,128,914.3946804143102,-67.52767182007996
0.001,4,250,128,914.3946804143102,-67.52767182007996
0.001,4,300,128,739.2791936367041,-31.4996581485332
0.001,4,350,128,417.74160356033985,-25.730916010258916
0.001,5,200,128,125.17060695095506,-1.4037311856347885
0.001,5,250,128,739.2791936367041,-31.4996581485332
0.001,5,300,128,219.65356361645232,-5.08087764332906
0.001,5,350,128,284.8799650997248,-7.334762762721548
