learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,200,128,66.60913270951664,0.07182533302887428
0.001,3,250,128,70.19408873103771,-0.38350888217298373
0.001,3,300,128,152.70031637788588,-5.35023836456005
0.001,3,350,128,442.36914935355554,-27.921752485582925
0.001,4,200,128,64.83738910872708,0.17908416730940535
0.001,4,250,128,442.36914949560344,-27.921752503984816
0.001,4,300,128,624.0553860061415,-75.52824359233438
0.001,4,350,128,442.36914949560344,-27.921752503984816
0.001,5,200,128,442.36914949560344,-27.921752503984816
0.001,5,250,128,442.36914949560344,-27.921752503984816
0.001,5,300,128,442.36914949560344,-27.921752503984816
0.001,5,350,128,442.36914949560344,-27.921752503984816
