Diameter,length,Pressure,Mass flux,Temperature,CHF
0.01,1.0,9800.0,676.0,117.81999999999998,2185.6616063714027
0.01,1.0,9800.0,849.0,121.14,2610.1528312563896
0.01,1.0,9800.0,1001.0,123.51,2421.3727932572365
0.01,1.0,9800.0,1164.0,125.40000000000002,3024.279341340065
0.01,1.0,9800.0,1313.0,124.92,2995.776260614395
0.01,1.0,9800.0,1352.0,114.97000000000001,3252.0107575654984
0.01,1.0,9800.0,1514.0,116.16,3675.8624597787857
0.01,1.0,9800.0,1861.0,133.66000000000003,3892.8339453935623
0.01,1.0,9800.0,1945.9999999999998,125.63,3920.661003112793
0.01,1.0,9800.0,2331.0,135.78000000000003,4530.612575888634
0.01,1.0,9800.0,2536.0,135.08,4687.1750873327255
0.01,1.0,9800.0,2791.0,139.08,4794.014634370804
0.01,2.0,9800.0,474.0,103.56,1348.7354625463483
0.01,2.0,9800.0,517.0,99.74,1260.6517965495586
0.01,2.0,9800.0,581.0,95.45,1556.7479563355444
0.01,2.0,9800.0,619.0,95.93,1423.3362422883508
0.01,2.0,9800.0,662.0,99.74,1466.5611502528188
0.01,2.0,9800.0,842.0,104.51,1476.1388840973375
0.01,2.0,9800.0,871.0,105.7,1527.1882062554357
0.01,2.0,9800.0,887.9999999999999,114.02,1596.574882507324
0.01,2.0,9800.0,972.9999999999999,113.55000000000001,1550.7881264686582
0.01,2.0,9800.0,1150.0,121.14,1781.4880321025846
0.01,2.0,9800.0,1422.0000000000002,139.31,1973.761366844177
0.01,2.0,9800.0,1787.0,141.19,2148.106135904789
0.01,2.0,9800.0,1956.0000000000002,143.30000000000004,2220.4266415834427
0.01,2.0,9800.0,2031.0,147.05,2203.771140098572
0.01,2.0,9800.0,2473.0,157.56,2534.1436446905136
0.01,2.0,9800.0,2745.0,161.04,2800.6589670181274
0.01,2.0,9800.0,506.0,173.76,903.8995952010155
0.01,2.0,9800.0,701.0,188.4,1098.4146332740784
0.01,2.0,9800.0,871.0,199.7,1301.7278623282907
0.01,2.0,9800.0,871.0,196.55,1229.0075399577618
0.01,2.0,9800.0,1069.0,199.93,1374.255867809057
0.01,2.0,9800.0,1115.0,197.0,1306.8278639316557
0.01,2.0,9800.0,1178.0,194.74,1424.651864647865
0.01,2.0,9800.0,1497.0,198.13,1622.242592692375
0.01,2.0,9800.0,1638.0,201.27,1807.6905182003973
0.01,2.0,9800.0,2016.0,206.87,1867.6163997054098
0.01,2.0,9800.0,2027.0,211.32,1845.0792833566663
0.01,2.0,9800.0,3102.0,219.92,2191.043718755245
0.01,2.0,9800.0,3138.0,223.64,2324.2477029561996
0.01,2.0,9800.0,3325.0,217.72,2102.1137204170227
0.01,2.0,9800.0,3516.0,219.92,2302.2409150004387
0.01,2.0,9800.0,3799.0,223.64,2367.905784010887
0.01,2.0,9800.0,4188.0,226.91,2674.0043390989304
0.01,2.0,9800.0,4252.0,224.51000000000002,2734.7267867326736
0.01,2.0,9800.0,4418.0,224.51000000000002,2790.948651075363
0.01,2.0,9800.0,4800.0,230.16,2842.8334168195724
0.01,2.0,9800.0,5221.0,234.89,2723.208784043789
0.01001,3.0,9800.0,481.0,208.43,600.8877722024918
0.01001,3.0,9800.0,541.0,211.98,732.7372182458639
0.01001,3.0,9800.0,558.0,205.97999999999996,684.1239867061377
0.01001,3.0,9800.0,636.0,207.76,724.8345890492201
0.01001,3.0,9800.0,714.0,203.74,681.3516099154949
0.01001,3.0,9800.0,816.0,198.35,801.5007049590349
0.01001,3.0,9800.0,911.0,202.84,751.3176523000002
0.01001,3.0,9800.0,1063.0,199.48,837.6435511261225
0.01001,3.0,9800.0,1247.0,202.16999999999996,990.3142910599709
0.01001,3.0,9800.0,1395.0,207.54,1136.4221404492855
0.01001,3.0,9800.0,1515.0000000000002,206.87,1170.9106626212597
0.01001,3.0,9800.0,1659.0,209.76,1173.9123550653458
0.01001,3.0,9800.0,2041.0,205.30999999999997,1353.430203080177
0.01001,3.0,9800.0,3206.0,213.31,1703.820994198322
0.01001,3.0,9800.0,3488.0,213.31,1717.3932909369466
0.01001,3.0,9800.0,3841.0,212.2,1829.477537333965
0.01001,3.0,9800.0,4173.0,211.54,1968.108722567558
0.01001,3.0,9800.0,4744.0,213.75,2126.337366938591
0.01001,3.0,9800.0,5045.0,214.64,2210.2792418003082
0.01001,3.0,9800.0,5214.0,204.19000000000003,2210.862633705139
0.01001,3.0,9800.0,5458.0,214.86,2242.004167199135
0.01001,3.0,9800.0,6838.0,214.64,2837.6831889152527
0.01001,3.0,9800.0,7420.000000000001,210.65,3168.30628824234
0.01001,3.0,9800.0,473.0,288.19,473.10980047285557
0.01001,3.0,9800.0,869.0,286.51,567.0481661707163
0.01001,3.0,9800.0,1179.0,286.51,678.0302711576223
0.01001,3.0,9800.0,1571.0000000000002,285.19,829.0473388880491
0.01001,3.0,9800.0,2281.0,286.88,1086.5590024888515
0.01001,3.0,9800.0,3297.0,283.49,1356.2623530030248
0.01001,3.0,9800.0,3967.9999999999995,286.13,1307.0371274054048
0.01001,3.0,9800.0,4628.0,285.57,1366.0212082564829
0.01001,3.0,9800.0,5563.0,290.05,1529.7226790785787
0.01,4.966,9800.0,527.0,210.21,464.8098083883524
0.01,4.966,9800.0,595.0,207.98,511.11226584762335
0.01,4.966,9800.0,704.0,204.19000000000003,481.680209428072
0.01,4.966,9800.0,1047.0,203.29,686.9491202831268
0.01,4.966,9800.0,1235.0,208.65000000000003,680.323542714119
0.01,4.966,9800.0,1603.0,206.2,718.8519464731216
0.01,4.966,9800.0,2193.0,207.76,976.8869988024235
0.01,4.966,9800.0,2639.0,213.09,1047.439768731594
0.01,4.966,9800.0,3771.0,207.98,1374.3343895375726
0.01,4.966,9800.0,4570.0,209.32000000000002,1393.3464630544183
0.01,4.966,9800.0,6632.0,208.2,1961.351559758186
0.01,4.966,9800.0,602.0,288.38,349.07125353068113
0.01,4.966,9800.0,708.0,289.49,293.3063526749611
0.01,4.966,9800.0,747.0,288.38,358.9304559491575
0.01,4.966,9800.0,1001.0,289.49,388.0123947933316
0.01,4.966,9800.0,1164.0,288.94,436.72153556346893
0.01,4.966,9800.0,1861.0,289.49,596.5922349095345
0.01,4.966,9800.0,2466.0,289.86,636.3106569349766
0.01,4.966,9800.0,2703.0,289.49,717.7269540131092
0.01,4.966,9800.0,2979.0,288.56,816.5867687314749
0.01,4.966,9800.0,3322.0,290.05,875.5328156203032
0.01,4.966,9800.0,4811.0,289.49,1172.7642815113068
0.01,4.966,9800.0,5472.0,290.05,1147.2145072817802
0.01,4.966,9800.0,6197.0,290.6,1253.955595433712
0.01,4.966,9800.0,6643.0,289.12,1171.7053883969784
0.01,1.0,11760.0,368.0,97.8,2160.6975244879723
0.01,1.0,11760.0,446.0,91.82,2108.854473412037
0.01,1.0,11760.0,598.0,103.99999999999999,2394.2323405742645
0.01,1.0,11760.0,743.0,104.96,2332.7547347545624
0.01,1.0,11760.0,913.0,123.02000000000001,2454.223861336708
0.01,1.0,11760.0,1192.0,126.10000000000001,2980.7905727624893
0.01,1.0,11760.0,1408.0000000000002,127.99,3184.357233762741
0.01,2.0,11760.0,397.0,98.04,1183.0076096951962
0.01,2.0,11760.0,432.0,100.89999999999999,1097.8277907073498
0.01,2.0,11760.0,517.0,101.86,1114.7782854437828
0.01,2.0,11760.0,616.0,101.86,1266.8121482133865
0.01,2.0,11760.0,641.0,101.86,1339.8850515484808
0.01,2.0,11760.0,669.0,100.89999999999999,1491.572084456682
0.01,2.0,11760.0,747.0,101.86,1200.320347249508
0.01,2.0,11760.0,782.0,101.86,1495.5378151535986
0.01,2.0,11760.0,807.0,103.05,1358.7867805659769
0.01,2.0,11760.0,846.0,103.99999999999999,1534.6305938363073
0.01,2.0,11760.0,892.0,105.91,1470.5399934649465
0.01,2.0,11760.0,1051.0,113.05,1531.6754469871519
0.01,2.0,11760.0,1108.0,113.05,1665.7911727428434
0.01,2.0,11760.0,1146.0,114.0,1669.8910191655157
0.01,2.0,11760.0,1242.0,114.95,1678.9047614932058
0.01,2.0,11760.0,1454.0,114.0,2105.76053327322
0.01,2.0,11760.0,1574.0000000000002,118.98999999999998,1898.468230962753
0.01,2.0,11760.0,1656.0,121.12,2148.3318858742714
0.01,2.0,11760.0,2186.0,129.18000000000004,2769.0355677604675
0.01,2.0,11760.0,2229.0,130.12,2400.955150127411
0.01,2.0,11760.0,2459.0,135.08,2744.694598734379
0.01,2.0,11760.0,2625.0,139.08,2967.2314652204514
0.01,2.0,11760.0,2734.0,140.26000000000002,2903.0908685922623
0.01,2.0,11760.0,361.0,169.66,967.6093958616257
0.01,2.0,11760.0,467.0,171.51,1127.6826874017715
0.01,2.0,11760.0,517.0,171.51,898.6247600615025
0.01,2.0,11760.0,605.0,174.74,1062.3498487472534
0.01,2.0,11760.0,1980.9999999999998,210.33999999999997,1890.1990647912023
0.01,2.0,11760.0,2130.0,212.34,1895.3163197040556
0.01,2.0,11760.0,2522.0,224.68,2004.019990980625
0.01,2.0,11760.0,3007.0,234.88,2189.9689525961876
0.01,2.0,11760.0,3081.0,229.69000000000003,2261.5396677851677
0.01,2.0,11760.0,3145.0,221.62,2294.2697326540947
0.01,2.0,11760.0,4344.0,232.72,2711.881104528904
0.01,2.0,11760.0,4584.0,232.72,2964.796678185463
0.01,2.0,11760.0,478.0,307.74,516.3701352328062
0.01,2.0,11760.0,694.0,307.74,656.1335593163967
