learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,200,128,8.361713741273183,0.9655987871601219
0.001,3,250,128,9.70535159372465,0.9637623915576602
0.001,3,300,128,16.911670658866054,0.8499292637174731
0.001,3,350,128,444.51144171314434,-10.291397204781212
0.001,4,200,128,594.790704689004,-31.961841614190064
0.001,4,250,128,444.51144171314434,-10.291397204781212
0.001,4,300,128,444.51144171314434,-10.291397204781212
0.001,4,350,128,444.51144171314434,-10.291397204781212
0.001,5,200,128,444.51144171314434,-10.291397204781212
0.001,5,250,128,444.51144171314434,-10.291397204781212
0.001,5,300,128,444.51144171314434,-10.291397204781212
0.001,5,350,128,444.51144171314434,-10.291397204781212
