Diameter,length,Pressure,Mass flux,Temperature,CHF
0.0038400000000000005,1.55,2940.0,3984.0,195.14,2673.499387383461
0.0038400000000000005,1.55,2940.0,3984.0,209.14,2403.929583966732
0.008,0.79,2940.0,995.0,75.88,4488.5718930363655
0.008,0.79,2940.0,995.0,85.90000000000002,3956.469885289669
0.008,0.79,2940.0,995.0,98.76,3542.7185757756233
0.008,0.79,2940.0,995.0,119.60000000000001,3834.7194210886955
0.008,0.79,2940.0,989.0,128.79,4018.6328205168247
0.008,0.79,2940.0,995.0,148.69,3583.914895325899
0.008,0.79,2940.0,989.0,191.08999999999997,3255.035046905279
0.008,0.79,2940.0,995.0,210.24,3106.1511925160885
0.008,1.57,2940.0,1007.0,54.6,2809.964855223894
0.008,1.57,2940.0,1007.0,65.85,3092.8303957283497
0.008,1.57,2940.0,1007.0,75.88,2883.2535141408443
0.008,1.57,2940.0,1007.0,85.90000000000002,2871.0329948067665
0.008,1.57,2940.0,1012.0,95.67,2566.2026272416115
0.008,1.57,2940.0,1007.0,104.69,2618.3769226670265
0.008,1.57,2940.0,1007.0,124.79,2744.1682634949684
0.008,1.57,2940.0,1007.0,133.73,2543.441632628441
0.008,1.57,2940.0,1007.0,144.73,2268.1104475557804
0.008,1.57,2940.0,1001.0,154.73,2345.3205579668283
0.008,1.57,2940.0,1001.0,165.82,2196.846664607525
0.008,1.57,2940.0,1007.0,174.99,2485.9930534660816
0.008,1.57,2940.0,1007.0,174.99,2317.0901533067226
0.008,1.57,2940.0,1007.0,205.16,2071.9741794466972
0.008,1.57,2940.0,1001.0,217.24,2036.1560369729996
0.008,2.5099999999999993,2940.0,990.0,134.67,1788.886625662446
0.008,2.5099999999999993,2940.0,996.0,144.73,1688.2315996587276
0.008,2.5099999999999993,2940.0,990.0,153.8,1750.5753040760756
0.008,2.5099999999999993,2940.0,990.0,165.82,1638.5436963438988
0.008,2.5099999999999993,2940.0,990.0,175.91,1522.1305566877127
0.008,2.5099999999999993,2940.0,990.0,185.91,1543.2095494568348
0.008,2.5099999999999993,2940.0,996.0,191.99000000000004,1522.1690598726273
0.008,2.5099999999999993,2940.0,996.0,213.09,1433.782453775406
0.008,3.4900000000000007,2940.0,1005.0,80.89,1412.1822975575926
0.008,3.4900000000000007,2940.0,1005.0,101.84,1439.4296310693028
0.008,3.4900000000000007,2940.0,1005.0,124.79,1326.6152992695572
0.008,3.4900000000000007,2940.0,1005.0,146.82,1240.1167196854951
0.008,3.4900000000000007,2940.0,1005.0,165.82,1228.1764904856684
0.008,3.4900000000000007,2940.0,1005.0,189.06999999999996,1198.5723052397373
0.008,3.4900000000000007,2940.0,1005.0,210.24,1100.318964339793
0.008,0.7800000000000001,2940.0,1617.0000000000002,119.60000000000001,4094.3400015234947
0.008,0.7800000000000001,2940.0,1605.0000000000002,129.74,4760.693609237671
0.008,0.7800000000000001,2940.0,1617.0000000000002,139.82,4244.570292711258
0.008,0.7800000000000001,2940.0,1629.0000000000002,149.85,4135.075065970421
0.008,0.7800000000000001,2940.0,1617.0000000000002,159.82,3881.778405249119
0.008,0.7800000000000001,2940.0,1617.0000000000002,169.96,4171.464360773563
0.008,0.7800000000000001,2940.0,1611.0000000000002,180.92,3621.5214128494263
0.008,0.7800000000000001,2940.0,1623.0000000000002,196.03,3994.448904812336
