learning_rate,num_layers,num_nodes,batch_size,MAPE,MSE,R2
0.001,3,200,128,64.21264614554045,1547985.8685207309,0.22418615592330426
0.001,3,250,128,66.95060266270247,1699812.9739061918,0.14809400762953928
0.001,3,300,128,66.3028491750004,1615794.6385398945,0.19020200684256905
0.001,3,350,128,70.44471099038661,1885174.5486024166,0.05519517778000704
0.001,4,200,128,71.58361304280798,1751555.0072719974,0.12216212632352286
0.001,4,250,128,68.2160945800215,1638753.8969337705,0.17869537046175732
0.001,4,300,128,69.31169880182246,2024460.3971614495,-0.014611589706398309
0.001,4,350,128,57.56746756045329,1367822.11847789,0.314479959197864
0.001,5,200,128,72.76770643220068,2163687.6553350748,-0.08438899307969816
0.001,5,250,128,59.30709127675006,1443759.8612732363,0.2764217615446364
0.001,5,300,128,63.60981546699416,1671614.1342313583,0.16222659801781003
0.001,5,350,128,62.31347194345357,1679107.961170591,0.15847086949160105
