learning_rate,num_layers,num_nodes,batch_size,MAPE,MSE,R2
0.001,3,200,128,92.60034273569143,2554378.4813992227,-0.280193979273774
0.001,3,250,128,91.82067735261148,2071779.559363317,-0.03832683276698301
0.001,3,300,128,57.63881810016704,1573961.0676915222,0.21116800147554637
0.001,3,350,128,62.578826681426925,1646596.3931595855,0.17476489714941312
0.001,4,200,128,51.438875255720916,1473434.9013225054,0.2615493345012593
0.001,4,250,128,61.626456654794424,1657255.8205453886,0.1694226446754039
0.001,4,300,128,83.06921350078491,3055791.4166415045,-0.531490263478118
0.001,4,350,128,53.279634520884734,1513059.9683033964,0.24169018968515155
0.001,5,200,128,55.49335587525849,1501366.9413244058,0.24755045778833007
0.001,5,250,128,50.493218254787195,1511111.5556833376,0.24266668793061674
0.001,5,300,128,51.9202009482253,1485003.0819994593,0.25575163640693643
0.001,5,350,128,104.71528556156775,2661111.8546911483,-0.3336862173547397
