learning_rate,num_layers,num_nodes,batch_size,MAPE,MSE,R2
0.001,3,200,128,82.75818905474924,2038527.2674332608,-0.021661571829381554
0.001,3,250,128,92.55395331271092,2124251.805476712,-0.06462467940267169
0.001,3,300,128,103.838020094327,2842655.001791191,-0.42467134175516885
0.001,3,350,128,70.91577259257829,1556270.3992315559,0.22003414539928157
0.001,4,200,128,58.307485266733096,2163998.28270503,-0.08454467215846817
0.001,4,250,128,85.97957168747939,2168815.1341916807,-0.0869587640078826
0.001,4,300,128,61.206540963317146,1838564.5000771412,0.07855502986544682
0.001,4,350,128,61.45866013847995,1490403.2822287197,0.2530451839878004
0.001,5,200,128,64.08733698404156,1797290.4508854086,0.09924060549970515
0.001,5,250,128,65.8992289854887,2100062.739746962,-0.052501692720400284
0.001,5,300,128,75.40797439166069,1774525.7605592082,0.11064972897449643
0.001,5,350,128,59.008424251094794,2004068.1169483138,-0.004391461975671307
