feature_to_remove,RMSE_wind,MAE_wind,R2_wind,RMSE_solar,MAE_solar,R2_solar,RMSE_load,MAE_load,R2_load
DHI_DNI,0.03732245955576137,0.024973585449866147,-0.001291287635769356,0.09920347487790183,0.06534378875530923,0.82995016719098,0.09103742480046936,0.07916686634880116,0.2463307837065638
DHI_GHI,0.03478854850320023,0.021277831564775355,0.13005350455390075,0.12790744709880092,0.07772428624955408,0.7173076203965418,0.08281400226148963,0.0660927636891355,0.37633927373343745
DHI_Dew Point,0.03500739880577874,0.020076547336843782,0.119073632417664,0.09825681840076131,0.05943939092747957,0.83318010847966,0.06461742486383942,0.050572548539094195,0.620300398456725
DHI_Solar Zenith Angle,0.041608527514852146,0.027540255490960255,-0.24447053607135238,0.24179503292860796,0.15832060522363886,-0.010222855693622357,0.09701634774682157,0.07099469629135498,0.14408489477236386
DHI_Wind Speed,0.03701045209200716,0.021373131011054522,0.01537988132163648,0.11395986373922655,0.0709437464014084,0.7755982278794646,0.08436214959233822,0.06693233701420438,0.3528035552386205
DHI_Relative Humidity,0.03761178222467255,0.02421614048892996,-0.016875422757872016,0.12376942368662562,0.08103270779580769,0.7353029037199572,0.08511709689220288,0.06902937244605875,0.3411683510563793
DHI_Temperature,0.035184440166054605,0.023711178767262794,0.11014096255042538,0.14554675610364765,0.08805933806474923,0.6339608816410185,0.07747160607705059,0.05721994512441909,0.45420950594122855
DNI_GHI,0.03736970643808396,0.019443777266799633,-0.0038279819465056875,0.09210774536257442,0.056539643012466376,0.8534064902028207,0.08619754660546369,0.06897183206184088,0.3243361893874984
DNI_Dew Point,0.036286983204269964,0.023796249369707995,0.053497745941115116,0.14502325813439723,0.08561517323089522,0.6365892621360258,0.09751305263046411,0.07621515110931991,0.13529822051210105
DNI_Solar Zenith Angle,0.0420231939193582,0.027617410295213307,-0.26939867247452787,0.25158307068987285,0.1494826370987206,-0.09366739997927742,0.10924291287051623,0.085663871734793,-0.08524399597818189
DNI_Wind Speed,0.03516102163401966,0.021133843198387015,0.11132513697878454,0.12230308841688395,0.07411773736161226,0.7415376505540383,0.07969622553071094,0.058603662362121486,0.42241440263080277
DNI_Relative Humidity,0.035292536688194404,0.02025688623513682,0.10466476744168862,0.11576556088337923,0.07373920533867856,0.7684305840939677,0.08181357951962763,0.058477091041073584,0.39131634867552834
DNI_Temperature,0.04050329724752156,0.026138915366138656,-0.1792358767833344,0.12783745260289797,0.08106934536048989,0.7176169299337425,0.08492208089662086,0.06700231902126869,0.3441838562386741
GHI_Dew Point,0.03895408914291793,0.02441087823400408,-0.09075203692735312,0.0993819490326302,0.06479928811049268,0.8293377531465795,0.07570311128515532,0.05592825254884966,0.4788433235311499
GHI_Solar Zenith Angle,0.041703049899621474,0.027133723869132483,-0.2501311033009279,0.1851491691904163,0.12066721653792381,0.40766693697638623,0.07763126615278108,0.06234659408550333,0.45195756488116035
GHI_Wind Speed,0.036830185052732355,0.021711331895221526,0.02494811308768463,0.09183416247434004,0.06157277437747452,0.854276035191363,0.09699293151510856,0.08046717890432334,0.14449801870771584
GHI_Relative Humidity,0.03856664530137756,0.026087078419069612,-0.06916233900095636,0.0857583891596587,0.0563952254024837,0.8729204496666719,0.08010186187953076,0.06382940303548479,0.4165198711653748
GHI_Temperature,0.034892838980156105,0.021106850504096976,0.12482976677065116,0.10237701551252879,0.06667301628250177,0.8188962807019959,0.08127374613954738,0.06573948309240683,0.39932244470096234
Dew Point_Solar Zenith Angle,0.03524011846620724,0.023082706061120707,0.10732238475106137,0.2002192140760484,0.12676941667920977,0.30731793292332843,0.08151878515745307,0.06619078744355313,0.39569491841831417
Dew Point_Wind Speed,0.03758566000415581,0.023234094994063526,-0.015463427997302492,0.1236193125418616,0.08015979618280734,0.7359445789850045,0.07778270727310102,0.06455482249154407,0.4498172645128984
Dew Point_Relative Humidity,0.0410749835441292,0.026427104759921445,-0.2127596007479462,0.14061295781354471,0.08382933287764378,0.6583565276412624,0.09153462458652334,0.06414866867596944,0.23807599289558978
Dew Point_Temperature,0.03384323330209788,0.021710776015599464,0.17668956331771513,0.12603802510654524,0.07828859956710667,0.725510574111407,0.07638458227249792,0.05892916349321082,0.4694183032535054
Solar Zenith Angle_Wind Speed,0.03954009891115642,0.020902639752094814,-0.12381656146319853,0.25369640031260055,0.1611450557253471,-0.11211846052501762,0.10255888675830836,0.07830829394447718,0.04349455960233095
Solar Zenith Angle_Relative Humidity,0.04133856901032904,0.025488147035063802,-0.2283745299924156,0.24969230835605344,0.16294312465464136,-0.07729034693003434,0.09630944921405203,0.07102276152677182,0.15651250826123164
Solar Zenith Angle_Temperature,0.036184272740969296,0.02227719926949618,0.05884832026546871,0.1869439492220711,0.12064592339172418,0.39612748173851053,0.07577108777484898,0.061699877960968846,0.47790697346173183
Wind Speed_Relative Humidity,0.04071100143990457,0.025635690861440064,-0.19136132178585497,0.10616807530167706,0.06997741806363543,0.8052352633048654,0.07903079217564274,0.05667699738949961,0.4320193783440702
Wind Speed_Temperature,0.03622246138750795,0.020048848396288153,0.05686070121306608,0.12142200518319869,0.07150862860126943,0.745248211955458,0.0672731992632482,0.05367208871030974,0.5884477204105163
Relative Humidity_Temperature,0.03592658614185016,0.022047541781936575,0.07220542795096463,0.115980187400487,0.06848314520994385,0.7675711400764951,0.06619048515572926,0.05725430766628018,0.6015883978170853
