m,m.1,kPa,kg m-2s-1,°C,kW m-2
0.00399,0.5,5880,4444,97.29,6609
0.00399,0.5,5880,4444,120.31,5830
0.00399,0.5,5880,4444,138.45,5310
0.00399,0.5,5880,4444,159.44,4846
0.00399,0.5,5880,4444,200.02,4196
0.00399,0.5,5880,4444,219.03,3843
0.00581,1,5880,1499,100.39,3328
0.00581,1,5880,1499,120.31,3092
0.00581,1,5880,1499,140.32,2983
0.00581,1,5880,1499,158.51,2843
0.00581,1,5880,1499,178.77,2708
0.00581,1,5880,1499,198.9,2613
0.00581,1,5880,1499,220.12,2350
0.00581,1,5880,1499,259.27,1980
0.00581,1,5880,3353,119.37,4268
0.00581,1,5880,3353,159.44,3712
0.00581,1,5880,3353,179.68,3520
0.00581,1,5880,3353,200.02,3309
0.00581,1,5880,3353,220.12,3098
0.00581,1,5880,3353,259.27,2677
0.00581,1,5880,5051,120.31,5437
0.00581,1,5880,5051,139.39,5016
0.00581,1,5880,5051,159.44,4511
0.00581,1,5880,5051,179.68,4063
0.00581,1,5880,5051,220.12,3373
0.00578,2,5880,1493,100.39,1835
0.00578,2,5880,1493,120.31,1780
0.00578,2,5880,1493,179.68,1524
0.00578,2,5880,1493,220.12,1360
0.00578,2,5880,1493,239.23,1278
0.00578,2,5880,1493,261.28,1181
0.00578,2,5880,3441,99.43,2914
0.00578,2,5880,3441,119.37,2777
0.00578,2,5880,3441,139.39,2655
0.00578,2,5880,3441,158.51,2492
0.00578,2,5880,3441,178.77,2335
0.00578,2,5880,3441,239.23,1829
0.00578,2,5880,3441,259.27,1645
0.00578,2,5880,4997,98.24,3477
0.00578,2,5880,4997,120.31,3349
0.00578,2,5880,4997,139.39,3180
0.00578,2,5880,4997,200.02,2662
0.00578,2,5880,4997,220.12,2379
0.00578,2,5880,4997,241.33,2168
0.00578,3,5880,1493,119.37,1202
0.00578,3,5880,1493,158.51,1085
0.00578,3,5880,1493,179.68,1033
0.00578,3,5880,1493,219.03,931
0.00578,3,5880,1493,240.28,865
0.00578,3,5880,1493,260.28,809
0.00578,3,5880,3335,119.37,2060
0.00578,3,5880,3335,139.39,1902
0.00578,3,5880,3335,159.44,1773
0.00578,3,5880,3335,178.77,1647
0.00578,3,5880,3335,200.02,1517
0.00578,3,5880,3335,221.21,1390
0.00578,3,5880,3335,260.28,1164
0.00578,3,5880,4944,98.24,2767
0.00578,3,5880,4997,120.31,2651
0.00578,3,5880,4997,138.45,2477
0.00578,3,5880,4997,159.44,2326
0.00578,3,5880,4997,178.77,2174
0.00578,3,5880,4997,198.9,2010
0.00578,3,5880,4997,220.12,1863
0.00578,3,5880,4976,239.23,1722
0.00578,3,5880,4976,260.28,1584
0.00585,4,5880,1499,99.43,1014
0.00585,4,5880,1499,139.39,900
0.00585,4,5880,1499,159.44,860
0.00585,4,5880,1499,179.68,817
0.00585,4,5880,1499,200.91,769
0.00585,4,5880,1499,261.28,636
0.00585,4,5880,3328,120.31,1582
0.00585,4,5880,3328,160.6,1368
0.00585,4,5880,3328,178.77,1300
0.00585,4,5880,3328,219.69,1145
0.00585,4,5880,3328,239.23,1065
0.00585,4,5880,3339,259.87,1001
0.00585,4,5880,4972,98.24,2210
0.00585,4,5880,4972,118.42,2149
0.00585,4,5880,4972,158.51,1835
0.00585,6,5880,1499,200.02,544
0.00585,6,5880,1499,241.33,471
0.00585,6,5880,3359,200.02,861
0.00585,6,5880,3359,219.03,819
0.00585,6,5880,3359,240.7,736
0.0068,1,5880,2678,178.08,3547
0.0068,1,5880,2754,171.21,3430
0.0068,1,5880,3351,206.93,3349
0.0068,1,5880,3412,206.93,3349
0.0068,1.2,5880,3856,230.29,2919
0.0068,1.315,5880,2999,218.16,2709
0.00782,0.25,5880,1504,98.24,7880
0.00782,0.25,5880,1504,119.37,7425
0.00782,0.25,5880,1504,138.45,6838
0.00782,0.25,5880,2013,139.39,7804
0.00782,0.25,5880,2013,159.44,7217
0.00782,0.25,5880,2991,139.39,8335
0.00782,0.25,5880,2991,179.68,7028
0.00792,0.5,5880,993,99.43,4790
0.00792,0.5,5880,993,159.9,4300
0.00792,0.5,5880,993,200.91,3980
0.00792,0.5,5880,1495,138.92,5000
0.00792,0.5,5880,1495,179.68,4481
0.00792,0.5,5880,1495,220.12,4050
0.00792,0.5,5880,2019,139.86,5450
0.00792,0.5,5880,2019,179.68,4781
0.00792,0.5,5880,2803,179.68,5181
0.00792,0.5,5880,2803,220.12,4161
0.00795,2,5880,985,38.9,2023
0.00795,2,5880,985,79.88,1930
0.00795,2,5880,985,99.43,1849
0.00795,2,5880,985,119.37,1756
0.00795,2,5880,985,159.44,1628
0.00795,2,5880,985,179.68,1581
0.00795,2,5880,985,200.02,1465
0.00795,2,5880,985,221.21,1360
0.00795,2,5880,985,239.23,1290
0.00795,2,5880,985,261.28,1197
0.00795,2,5880,1439,99.91,2232
0.00795,2,5880,1439,139.86,2011
0.00795,2,5880,1439,159.9,1953
0.00795,2,5880,1439,179.68,1825
0.00795,2,5880,1439,220.12,1616
0.00795,2,5880,1439,241.33,1465
0.00795,2,5880,1439,260.28,1372
0.00795,2,5880,2004,58.81,2942
0.00795,2,5880,2004,79.88,2837
0.00795,2,5880,2004,99.43,2779
0.00795,2,5880,2004,119.37,2663
0.00795,2,5880,2004,140.32,2465
0.00795,2,5880,2004,159.9,2360
0.00795,2,5880,2004,179.68,2221
0.00795,2,5880,2004,220.12,1907
0.00795,2,5880,2004,260.28,1674
0.0082,1.65,5880,1689,66.24,2907
0.0082,1.65,5880,2220,256.23,1965
0.0082,1.65,5880,2236,255.21,1965
0.0082,1.65,5880,2262,181.28,2477
0.0082,1.65,5880,2262,182.64,2430
0.00845,1.4,5880,1685,212.01,2407
0.0085,0.4,5880,1665,116.29,6290
