m,m.1,kPa,kg m-2s-1,°C,kW m-2
0.00775,1.008,6960,500,51.75,2040
0.00775,1.008,6860,500,76.17,2020
0.00775,1.008,6860,500,104.08,1920
0.00775,1.008,6860,500,114.06,1880
0.00775,1.008,6860,500,204.9,1570
0.00775,1.008,6860,500,222.08,1490
0.00801,1,6860,500,62.04,2010
0.00801,1,6860,500,79.99,1940
0.00801,1,6860,500,131.07,1790
0.00801,1,6860,500,146.09,1760
0.00801,1,6860,500,173.44,1680
0.00801,1,6860,500,250.14,1470
0.00801,1.002,6960,501,80.98,2090
0.00801,1.002,6860,501,99.09,2040
0.00801,1.002,6960,496,117.16,1960
0.00801,1.002,6960,501,137.22,1900
0.00801,1.002,6960,501,152.19,1840
0.00801,1.002,6860,501,214.86,1580
0.00801,1.002,6770,501,230.15,1530
0.00801,1.002,6860,501,241.16,1450
0.00801,1.002,6860,501,255.28,1380
0.008,1,6860,502,164.23,1900
0.008,1,6860,501,177.57,1850
0.008,1,6860,501,222.08,1660
0.008,1,6860,501,247.23,1540
0.00775,1.008,6860,1000,50.76,3130
0.00775,1.008,6960,1000,96.02,2940
0.00775,1.008,6960,1000,120.95,2860
0.00775,1.008,6860,1000,133.19,2740
0.00775,1.008,6860,1000,153.32,2660
0.00775,1.008,6860,1000,169.31,2610
0.00775,1.008,6860,1000,191.67,2470
0.00775,1.008,6860,1000,214.86,2350
0.00775,1.008,7060,1000,239.11,2190
0.00775,1.008,6860,1000,269.13,1960
0.00796,1,6860,1000,126.12,2680
0.00796,1,6860,1000,181.45,2340
0.00796,1,6860,1000,183.5,2430
0.00796,1,6860,1000,194.6,2280
0.00796,1,6860,1000,227.07,2070
0.00801,1,6860,1000,68.03,3030
0.00801,1,6860,1000,83.1,3010
0.00801,1,6860,1000,105.98,2890
0.00801,1,6860,1000,119.03,2840
0.00801,1,6860,1000,133.19,2800
0.00801,1,6860,1000,162.38,2630
0.00801,1,6860,1000,169.31,2550
0.00801,1,6860,1000,190.76,2470
0.00801,1,6860,1000,194.6,2400
0.00801,1,6860,1000,245.15,2130
0.008,0.99,6860,1007,72.1,3000
0.008,0.99,6860,1007,109.07,2810
0.008,0.99,6860,1007,150.3,2600
0.008,0.99,6860,1007,199.77,2360
0.008,0.99,6860,1007,220.99,2160
0.008,0.99,6960,1018,248.1,2100
0.008,0.99,6860,1007,264.18,1940
0.00799,1,6860,996,144.22,2830
0.00799,1,6860,996,154.26,2790
0.00799,1,6860,996,164.23,2740
0.00799,1,6860,996,174.36,2710
0.00799,1,6860,1001,184.64,2680
0.00799,1,6860,996,214.86,2580
0.00799,1,6860,1001,225.12,2510
0.00799,1,6860,996,235.22,2440
0.00799,1,6860,996,250.14,2310
0.008,1,6860,980,129.19,2940
0.008,1,6860,980,144.22,2860
0.008,1,6860,980,198.65,2580
0.008,1,6860,1001,255.28,2290
0.008,1,6860,980,256.3,2250
0.008,1,6860,980,269.13,2120
0.00785,1,6670,1068,73.1,3150
0.00785,1,6770,1028,112.01,2970
0.00785,1,6370,1057,154.31,2780
0.00785,1,6670,1057,171.41,2770
0.00785,1,6860,1068,198.65,2650
0.00785,1,6960,1040,215.99,2490
0.00785,1,7060,1040,237.2,2370
0.00785,1,6960,1034,259.19,2200
0.00775,1.008,6960,2000,55.82,4240
0.00775,1.008,7160,2000,106.99,3730
0.00775,1.008,6960,2000,128.98,3530
0.00775,1.008,6860,2000,152.16,3310
0.00775,1.008,6770,2000,177.42,3160
0.00775,1.008,6860,2000,258.13,2450
0.00775,1.008,6860,2000,272.27,2270
0.00796,1,6860,2000,240.1,2600
0.00796,1,6860,2000,254.26,2360
0.00796,1,6860,2000,271.29,2290
0.00801,1,6860,2000,64.91,4410
0.00801,1,6860,2000,100.99,3830
0.00801,1,6860,2000,103.13,3860
0.00801,1,6860,2000,104.08,3870
0.00801,1,6860,2000,120.21,3700
0.00801,1,6860,2000,123.05,3590
0.00801,1,6860,2000,135.07,3590
0.00801,1,6860,2000,136.25,3500
0.00801,1,6860,2000,145.16,3360
0.00801,1,6860,2000,156.35,3240
0.00801,1,6860,2000,158.21,3310
0.00801,1,6860,2000,254.26,2330
0.008,0.99,6860,2019,100.99,4300
0.008,0.99,6860,2014,135.07,3820
0.008,0.99,6860,2019,149.13,3640
0.008,0.99,6860,2019,169.31,3480
