Diameter,Length,Pressure,Mass flux,Temperature,CHF
0.00384,1.55,2940.0,3984.0,195.14,-372.63219989836216
0.00384,1.55,2940.0,3984.0,209.14,-424.50229831039906
0.008,0.79,2940.0,995.0000000000001,75.88,3460.462930202484
0.008,0.79,2940.0,995.0000000000001,85.9,3434.1415348649025
0.008,0.79,2940.0,995.0000000000001,98.76000000000002,3398.413147032261
0.008,0.79,2940.0,995.0000000000001,119.6,3329.265424013138
0.008,0.79,2940.0,989.0,128.79,3285.470580160618
0.008,0.79,2940.0,995.0000000000001,148.69,3200.996252298355
0.008,0.79,2940.0,989.0,191.09,2927.575767338276
0.008,0.79,2940.0,995.0000000000001,210.24,2825.650776922703
0.008,1.57,2940.0,1006.9999999999999,54.6,2737.5625053048134
0.008,1.57,2940.0,1006.9999999999999,65.85,2713.224391043186
0.008,1.57,2940.0,1006.9999999999999,75.88,2685.548697412014
0.008,1.57,2940.0,1006.9999999999999,85.9,2653.1725531816483
0.008,1.57,2940.0,1012.0,95.67,2626.632322371006
0.008,1.57,2940.0,1006.9999999999999,104.69,2588.207520544529
0.008,1.57,2940.0,1006.9999999999999,124.78999999999999,2515.2464202046394
0.008,1.57,2940.0,1006.9999999999999,133.73,2480.265908241272
0.008,1.57,2940.0,1006.9999999999999,144.73,2439.485128223896
0.008,1.57,2940.0,1001.0,154.73,2396.0738104581833
0.008,1.57,2940.0,1001.0,165.82,2358.797782063484
0.008,1.57,2940.0,1006.9999999999999,174.99,2331.778594851494
0.008,1.57,2940.0,1006.9999999999999,174.99,2331.778594851494
0.008,1.57,2940.0,1006.9999999999999,205.16000000000003,2214.9989622831345
0.008,1.57,2940.0,1001.0,217.24,2157.3804846405983
0.008,2.51,2940.0,990.0000000000001,134.67,1719.891262203455
0.008,2.51,2940.0,996.0,144.73,1693.9423383772373
0.008,2.51,2940.0,990.0000000000001,153.8,1653.7582798302174
0.008,2.51,2940.0,990.0000000000001,165.82,1614.1625954210758
0.008,2.51,2940.0,990.0000000000001,175.91,1580.7394249737263
