learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,150,128,447.0498653000465,-5.370700914363867
0.001,3,200,128,358.94345287845454,-4.093086025624959
0.001,3,250,128,447.89547960304395,-5.372427000886655
0.001,3,300,128,461.281512403598,-5.642328443563803
0.001,4,150,128,362.19699862003523,-4.177687759021089
0.001,4,200,128,436.0228362008289,-5.0788183449772
0.001,4,250,128,461.281512403598,-5.642328443563803
0.001,4,300,128,461.281512403598,-5.642328443563803
0.001,5,150,128,364.16816830164424,-4.300871068124838
0.001,5,200,128,461.281512403598,-5.642328443563803
0.001,5,250,128,461.281512403598,-5.642328443563803
0.001,5,300,128,461.281512403598,-5.642328443563803
