d,p,t,l,m,c
0.00801,9810.0,82.88,3.0,1003.0,1154.0
0.0093,202.0,95.44,1.219,299.7,865.0
0.00795,9800.0,78.47,2.0,1495.0,2070.0
0.00776,3933.0,103.46,2.08,463.0,937.0
0.00782,6860.0,219.9,0.25,2991.0,5891.0
0.01,15690.0,325.07,4.966,4107.0,987.0
0.00578,14710.0,137.7,2.0,3441.0,2620.0
0.00781,17650.0,328.24,3.0,1044.0,387.0
0.0131,2373.0,30.53,2.25,290.0,1000.0
0.00996,3070.0,128.15,0.96,1289.0,4013.0
0.01075,9800.0,259.82,6.0,2770.0,873.0
0.00811,9990.0,210.47,5.0,501.5,345.0
0.00778,13730.0,87.54,6.0,1990.0,920.0
0.00578,11760.0,177.73,3.0,3314.0,1418.0
0.008,12750.0,149.0,3.49,999.0,770.0
0.00585,7840.0,159.04,4.0,4972.0,1829.0
0.00811,14000.0,236.99,3.66,1250.6,652.0
0.00801,17650.0,119.27,3.0,1000.0,886.0
0.00607,9800.0,172.38,0.792,3197.0,4090.0
0.01,2128.0,51.87,2.25,188.0,506.0
0.00993,3079.0,119.14,3.12,450.0,775.0
0.00394,2726.0,58.13,2.08,678.0,760.0
0.00925,6870.0,271.2,3.05,4055.6,1630.0
0.00578,13720.0,179.38,3.0,1493.0,809.0
0.01105,7840.0,118.67,1.0,962.0,2969.0
0.008,6860.0,275.18,0.99,2019.0,2500.0
0.008,9800.0,51.59,0.79,983.0,3343.0
0.0104,17650.0,200.66,3.8,1701.0,1116.0
0.01001,19610.0,347.73,3.0,1737.0,632.0
0.0108,5880.0,259.87,2.0,1511.0,1767.0
0.00795,17650.0,76.89,2.0,985.0,1383.0
0.00811,13980.0,326.81,5.0,2017.7,385.0
0.008,14700.0,311.31,0.78,1603.0,1408.0
0.01,16000.0,153.47,2.0,2506.0,2939.0
0.0131,3001.0,50.12,2.0,864.0,2536.0
0.00811,2000.0,192.86,2.0,500.6,872.0
0.00585,13720.0,319.89,4.0,3318.0,550.0
0.00798,17650.0,331.18,1.65,3811.0,1721.0
0.01001,5000.0,122.94,3.0,503.0,911.0
0.01,16000.0,121.35,1.0,1166.0,3104.0
0.00921,6870.0,234.05,3.66,4111.1,1715.0
0.01,13720.0,111.1,2.0,899.0,1480.0
0.0151,14710.0,280.73,6.0,1409.0,582.0
0.008,2989.0,156.65,1.4,4034.0,3797.0
0.00805,11790.0,260.17,2.0,3305.6,1606.0
0.008,14700.0,244.77,1.6,3191.0,2315.0
0.00993,2628.0,98.17,1.04,203.0,1036.0
0.008,7850.0,128.71,3.49,999.0,972.0
0.00782,9900.0,63.67,3.0,2000.0,1900.0
0.00622,10343.0,116.63,0.914,3607.0,5394.4
0.00798,5010.0,164.9,6.0,1515.2,734.0
0.008,7850.0,225.86,1.57,3180.0,2360.0
0.01,7000.0,187.86,4.966,4366.0,1908.0
0.01001,14000.0,314.43,3.0,2135.0,734.0
0.00394,2020.0,54.01,2.08,1909.0,1458.0
0.00779,9810.0,232.41,6.0,1937.0,570.0
0.0134,17354.0,347.45,3.658,2040.1,693.6
0.008,7850.0,176.23,0.79,989.0,2686.0
0.008,17700.0,203.85,1.57,1595.0,1705.0
0.008,2995.0,196.44,1.8,1994.0,2041.0
0.0078,17650.0,56.66,7.0,1502.0,723.0
0.01,696.0,87.73,1.5,692.0,1524.0
0.01,14000.0,317.4,4.966,2266.0,510.0
0.0077,14710.0,179.92,2.6,2750.0,1884.0
0.00792,17650.0,333.13,1.65,4004.0,1721.0
0.0134,13869.0,308.77,3.658,2039.3,781.9
0.00585,15690.0,260.3,4.0,1499.0,462.0
0.01001,18000.0,257.94,3.0,5540.0,2921.0
0.008,17700.0,330.3,5.03,2648.0,560.0
0.008,9800.0,289.86,1.57,1625.0,1317.0
0.00778,17650.0,200.66,6.0,3898.0,1430.0
0.0108,13730.0,279.98,1.0,1000.0,1420.0
0.01001,7000.0,265.83,3.0,3056.0,1510.0
0.0134,17947.0,349.18,3.658,2042.7,687.3
0.0131,1471.0,31.76,2.5,352.0,1013.0
0.0128,6895.0,271.84,1.93,3769.7,1996.9
0.008,14700.0,321.25,1.6,3994.0,1586.0
0.01,2883.0,38.06,1.25,101.0,506.0
0.00601,1128.0,75.97,1.0,2642.0,4378.0
0.00807,7840.0,223.8,0.778,2200.0,3130.0
0.00811,14000.0,236.12,3.66,1514.8,743.0
0.00585,19610.0,322.51,4.0,3328.0,745.0
0.00781,17650.0,143.44,3.0,1010.0,850.0
0.008,4900.0,227.37,1.97,1573.0,1730.0
0.00798,14010.0,326.25,6.0,3036.2,439.0
0.00932,7067.1,245.74,3.048,4125.7,1862.486
0.01,17650.0,252.48,4.966,1465.0,610.0
0.00803,15690.0,321.57,3.0,2041.0,626.0
0.00581,14710.0,301.14,1.0,1499.0,1104.0
0.00799,6860.0,174.36,1.0,996.0,2710.0
0.00801,17650.0,119.27,1.0,1000.0,2050.0
0.00778,17650.0,270.54,6.0,2013.0,530.0
0.0082,13720.0,201.02,6.0,1000.0,402.0
0.006,101.3,10.6,0.3,25.8,280.0
0.008,12750.0,188.79,3.49,2004.0,1076.0
0.00811,16000.0,327.71,2.0,502.2,364.0
0.00601,1128.0,71.44,1.0,2501.0,4174.0
0.008,13730.0,106.66,0.99,2008.0,3950.0
0.00998,7944.0,94.41,1.5,286.0,1038.0
0.012,915.0,87.14,1.0,100.0,589.0
0.00607,3040.0,48.77,1.0,571.0,1947.0
0.01,3109.0,31.24,1.0,159.0,995.0
0.00607,9800.0,209.98,0.79,3208.0,3332.0
0.00622,6895.0,160.25,0.91,3783.0,4606.0
0.00585,14710.0,218.78,4.0,4982.0,1578.0
0.00801,13730.0,241.8,3.0,4000.0,1809.0
0.01001,16000.0,326.01,3.0,1543.0,562.0
0.008,17650.0,256.27,1.0,979.0,1300.0
0.00811,17980.0,256.71,5.0,4003.0,1356.0
0.008,9800.0,132.95,1.57,2195.0,2732.0
0.01,14000.0,112.48,2.0,1380.0,1987.0
0.0093,114.0,68.57,1.219,92.2,376.0
0.00803,13730.0,47.16,6.0,1999.0,1040.0
0.00811,7010.0,185.93,2.0,2995.2,2532.0
0.01001,10000.0,213.0,3.0,395.0,571.0
0.00778,13730.0,317.87,6.0,3973.0,650.0
0.00803,15690.0,313.6,6.0,1986.0,383.0
0.01,2059.0,43.09,2.0,1910.0,3273.0
0.00803,17550.0,74.93,3.0,1993.0,1933.0
0.008,14727.0,304.23,1.0,1791.3,1444.9
0.0108,6860.0,220.99,1.0,1007.0,2653.0
0.00801,9810.0,272.94,3.0,4000.0,1325.0
0.00558,7140.0,207.42,0.432,2052.0,4450.0
0.00993,588.0,90.6,3.12,291.0,495.0
0.01,17650.0,104.0,2.0,556.0,974.0
0.0129,1785.0,97.66,0.96,539.0,2844.0
0.0082,13720.0,310.99,5.37,2268.0,473.0
0.00811,5010.0,164.21,2.0,2013.5,2453.0
0.00607,7850.0,242.12,0.79,2209.0,2676.0
0.00999,941.0,41.81,0.6,251.0,1979.0
0.00799,9810.0,284.9,1.0,2002.0,1800.0
0.01001,11760.0,303.76,3.0,1310.0,653.0
0.01,7000.0,133.23,2.0,948.0,1888.0
0.006,827.0,28.67,0.8,202.0,837.0
0.00799,6860.0,245.15,3.0,1001.0,883.0
0.01,10000.0,107.02,2.0,475.0,1121.0
0.008,2999.0,126.71,3.5,1001.0,959.0
0.01,15690.0,245.37,4.966,2476.0,999.0
0.00585,13720.0,57.42,4.0,1499.0,886.0
0.00558,7490.0,212.17,1.727,4050.0,2460.0
0.00796,17650.0,217.06,3.0,2000.0,1226.0
0.0131,2746.0,37.25,1.5,432.0,2061.0
0.01,11760.0,104.96,1.0,743.0,2636.0
0.008,7850.0,220.86,1.57,4000.0,2585.0
0.01001,7000.0,262.43,3.0,471.0,619.0
0.01,3491.0,106.26,1.5,648.0,2044.0
0.0108,9810.0,120.05,1.0,1994.4,4442.0
0.0082,11760.0,299.7,5.37,1510.0,347.0
0.00811,3010.0,133.52,2.0,1505.1,2187.0
0.00781,9900.0,147.12,3.0,1984.0,1577.0
0.00803,17650.0,260.24,4.0,2008.0,829.0
0.0108,9810.0,160.91,1.0,1513.9,3216.0
0.0093,114.0,68.33,1.219,119.3,505.0
0.0082,19610.0,342.82,5.34,1010.0,215.0
0.00578,7840.0,218.78,3.0,1493.0,857.0
0.01,16000.0,120.64,1.0,952.0,2785.0
0.0102,6893.0,275.7,4.877,3905.3,1157.7
0.0128,6895.0,228.97,0.91,2739.0,3224.0
0.00798,3000.0,134.49,6.0,2503.0,982.0
0.00585,5880.0,99.43,4.0,1499.0,1014.0
0.00781,13830.0,279.58,3.0,1056.0,554.0
0.01,16000.0,148.54,2.0,1945.0,2430.0
0.00801,9810.0,279.94,3.0,1009.0,605.0
0.0134,18692.0,335.04,3.658,2027.1,898.6
0.0108,17650.0,259.2,3.0,995.0,705.0
0.00811,15990.0,247.05,3.0,1509.0,835.0
0.0108,14710.0,261.21,3.0,995.0,752.0
0.008,4900.0,168.62,0.78,2201.0,4170.0
0.00384,7850.0,229.97,0.8,4056.0,2834.0
0.00578,7840.0,261.23,3.0,3335.0,1092.0
0.0131,2873.0,41.68,1.5,571.0,2548.0
0.01,8000.0,136.99,2.0,1561.0,2348.0
0.00545,9520.0,294.7,2.511,6995.0,1829.1
