m.1,kPa,kg m-2s-1,Â°C,m,kW m-2
3,9810,1003,82.88,0.00801,1154
1.219,202,299.7,95.44,0.0093,865
2,9800,1495,78.47,0.00795,2070
2.08,3933,463,103.46,0.00776,937
0.25,6860,2991,219.9,0.00782,5891
4.966,15690,4107,325.07,0.01,987
2,14710,3441,137.7,0.00578,2620
3,17650,1044,328.24,0.00781,387
2.25,2373,290,30.53,0.0131,1000
0.96,3070,1289,128.15,0.00996,4013
6,9800,2770,259.82,0.01075,873
5,9990,501.5,210.47,0.00811,345
6,13730,1990,87.54,0.00778,920
3,11760,3314,177.73,0.00578,1418
3.49,12750,999,149,0.008,770
4,7840,4972,159.04,0.00585,1829
3.66,14000,1250.6,236.99,0.00811,652
3,17650,1000,119.27,0.00801,886
0.792,9800,3197,172.38,0.00607,4090
2.25,2128,188,51.87,0.01,506
3.12,3079,450,119.14,0.00993,775
2.08,2726,678,58.13,0.00394,760
3.05,6870,4055.6,271.2,0.00925,1630
3,13720,1493,179.38,0.00578,809
1,7840,962,118.67,0.01105,2969
0.99,6860,2019,275.18,0.008,2500
0.79,9800,983,51.59,0.008,3343
3.8,17650,1701,200.66,0.0104,1116
3,19610,1737,347.73,0.01001,632
2,5880,1511,259.87,0.0108,1767
2,17650,985,76.89,0.00795,1383
5,13980,2017.7,326.81,0.00811,385
0.78,14700,1603,311.31,0.008,1408
2,16000,2506,153.47,0.01,2939
2,3001,864,50.12,0.0131,2536
2,2000,500.6,192.86,0.00811,872
4,13720,3318,319.89,0.00585,550
1.65,17650,3811,331.18,0.00798,1721
3,5000,503,122.94,0.01001,911
1,16000,1166,121.35,0.01,3104
3.66,6870,4111.1,234.05,0.00921,1715
2,13720,899,111.1,0.01,1480
6,14710,1409,280.73,0.0151,582
1.4,2989,4034,156.65,0.008,3797
2,11790,3305.6,260.17,0.00805,1606
1.6,14700,3191,244.77,0.008,2315
1.04,2628,203,98.17,0.00993,1036
3.49,7850,999,128.71,0.008,972
3,9900,2000,63.67,0.00782,1900
0.914,10343,3607,116.63,0.00622,5394.4
6,5010,1515.2,164.9,0.00798,734
1.57,7850,3180,225.86,0.008,2360
4.966,7000,4366,187.86,0.01,1908
3,14000,2135,314.43,0.01001,734
2.08,2020,1909,54.01,0.00394,1458
6,9810,1937,232.41,0.00779,570
3.658,17354,2040.1,347.45,0.0134,693.6
0.79,7850,989,176.23,0.008,2686
1.57,17700,1595,203.85,0.008,1705
1.8,2995,1994,196.44,0.008,2041
7,17650,1502,56.66,0.0078,723
1.5,696,692,87.73,0.01,1524
4.966,14000,2266,317.4,0.01,510
2.6,14710,2750,179.92,0.0077,1884
1.65,17650,4004,333.13,0.00792,1721
3.658,13869,2039.3,308.77,0.0134,781.9
4,15690,1499,260.3,0.00585,462
3,18000,5540,257.94,0.01001,2921
5.03,17700,2648,330.3,0.008,560
1.57,9800,1625,289.86,0.008,1317
6,17650,3898,200.66,0.00778,1430
1,13730,1000,279.98,0.0108,1420
3,7000,3056,265.83,0.01001,1510
3.658,17947,2042.7,349.18,0.0134,687.3
2.5,1471,352,31.76,0.0131,1013
1.93,6895,3769.7,271.84,0.0128,1996.9
1.6,14700,3994,321.25,0.008,1586
1.25,2883,101,38.06,0.01,506
1,1128,2642,75.97,0.00601,4378
0.778,7840,2200,223.8,0.00807,3130
3.66,14000,1514.8,236.12,0.00811,743
4,19610,3328,322.51,0.00585,745
3,17650,1010,143.44,0.00781,850
1.97,4900,1573,227.37,0.008,1730
6,14010,3036.2,326.25,0.00798,439
3.048,7067.1,4125.7,245.74,0.00932,1862.486
4.966,17650,1465,252.48,0.01,610
3,15690,2041,321.57,0.00803,626
1,14710,1499,301.14,0.00581,1104
1,6860,996,174.36,0.00799,2710
1,17650,1000,119.27,0.00801,2050
6,17650,2013,270.54,0.00778,530
6,13720,1000,201.02,0.0082,402
0.3,101.3,25.8,10.6,0.006,280
3.49,12750,2004,188.79,0.008,1076
2,16000,502.2,327.71,0.00811,364
1,1128,2501,71.44,0.00601,4174
0.99,13730,2008,106.66,0.008,3950
1.5,7944,286,94.41,0.00998,1038
1,915,100,87.14,0.012,589
1,3040,571,48.77,0.00607,1947
1,3109,159,31.24,0.01,995
0.79,9800,3208,209.98,0.00607,3332
0.91,6895,3783,160.25,0.00622,4606
4,14710,4982,218.78,0.00585,1578
3,13730,4000,241.8,0.00801,1809
3,16000,1543,326.01,0.01001,562
1,17650,979,256.27,0.008,1300
5,17980,4003,256.71,0.00811,1356
1.57,9800,2195,132.95,0.008,2732
2,14000,1380,112.48,0.01,1987
1.219,114,92.2,68.57,0.0093,376
6,13730,1999,47.16,0.00803,1040
2,7010,2995.2,185.93,0.00811,2532
3,10000,395,213,0.01001,571
6,13730,3973,317.87,0.00778,650
6,15690,1986,313.6,0.00803,383
2,2059,1910,43.09,0.01,3273
3,17550,1993,74.93,0.00803,1933
1,14727,1791.3,304.23,0.008,1444.9
1,6860,1007,220.99,0.0108,2653
3,9810,4000,272.94,0.00801,1325
0.432,7140,2052,207.42,0.00558,4450
3.12,588,291,90.6,0.00993,495
2,17650,556,104,0.01,974
0.96,1785,539,97.66,0.0129,2844
5.37,13720,2268,310.99,0.0082,473
2,5010,2013.5,164.21,0.00811,2453
0.79,7850,2209,242.12,0.00607,2676
0.6,941,251,41.81,0.00999,1979
1,9810,2002,284.9,0.00799,1800
3,11760,1310,303.76,0.01001,653
2,7000,948,133.23,0.01,1888
0.8,827,202,28.67,0.006,837
3,6860,1001,245.15,0.00799,883
2,10000,475,107.02,0.01,1121
3.5,2999,1001,126.71,0.008,959
4.966,15690,2476,245.37,0.01,999
4,13720,1499,57.42,0.00585,886
1.727,7490,4050,212.17,0.00558,2460
3,17650,2000,217.06,0.00796,1226
1.5,2746,432,37.25,0.0131,2061
1,11760,743,104.96,0.01,2636
1.57,7850,4000,220.86,0.008,2585
3,7000,471,262.43,0.01001,619
1.5,3491,648,106.26,0.01,2044
1,9810,1994.4,120.05,0.0108,4442
5.37,11760,1510,299.7,0.0082,347
2,3010,1505.1,133.52,0.00811,2187
3,9900,1984,147.12,0.00781,1577
4,17650,2008,260.24,0.00803,829
1,9810,1513.9,160.91,0.0108,3216
1.219,114,119.3,68.33,0.0093,505
5.34,19610,1010,342.82,0.0082,215
3,7840,1493,218.78,0.00578,857
1,16000,952,120.64,0.01,2785
4.877,6893,3905.3,275.7,0.0102,1157.7
0.91,6895,2739,228.97,0.0128,3224
6,3000,2503,134.49,0.00798,982
4,5880,1499,99.43,0.00585,1014
3,13830,1056,279.58,0.00781,554
2,16000,1945,148.54,0.01,2430
3,9810,1009,279.94,0.00801,605
3.658,18692,2027.1,335.04,0.0134,898.6
3,17650,995,259.2,0.0108,705
3,15990,1509,247.05,0.00811,835
3,14710,995,261.21,0.0108,752
0.78,4900,2201,168.62,0.008,4170
0.8,7850,4056,229.97,0.00384,2834
3,7840,3335,261.23,0.00578,1092
1.5,2873,571,41.68,0.0131,2548
2,8000,1561,136.99,0.01,2348
2.511,9520,6995,294.7,0.00545,1829.1
6,11760,5003,279.51,0.00585,837
3,13720,1493,118.71,0.00578,965
0.243,500,4931,73.97,0.008,7580
6,6860,517,219.9,0.0151,559
3.8,14710,3359,196.82,0.0104,1860
2,2059,778,46.44,0.01,1760
6,6860,5003,219.9,0.00585,1045
4.018,6453,2190,239.76,0.0151,1393
2.44,9800,2190,219.26,0.008,1492
1.57,7850,3191,184.23,0.008,2818
2,11760,3441,197.1,0.00578,1895
3,14000,2046,242.56,0.01001,1175
3,6963,275,103.67,0.00998,507
0.79,14700,2209,267.47,0.00607,2113
2,14710,3441,179.46,0.00578,2260
0.96,1942,175,37.72,0.00996,1089
1,2990,3012,148.54,0.008,4260
3,7850,1505.6,280,0.0108,1031
2.007,7140,2025,250.23,0.00935,1890
10.94,9800,1516,260.8,0.00805,248
1,15700,2738.9,300.75,0.0108,2310
5.34,13720,2015,239.79,0.0082,651
