m,m.1,kPa,kg m-2s-1,Â°C,kW m-2
0.00801,3,9810,1003,82.88,1154
0.0093,1.219,202,299.7,95.44,865
0.00795,2,9800,1495,78.47,2070
0.00776,2.08,3933,463,103.46,937
0.00782,0.25,6860,2991,219.9,5891
0.01,4.966,15690,4107,325.07,987
0.00578,2,14710,3441,137.7,2620
0.00781,3,17650,1044,328.24,387
0.0131,2.25,2373,290,30.53,1000
0.00996,0.96,3070,1289,128.15,4013
0.01075,6,9800,2770,259.82,873
0.00811,5,9990,501.5,210.47,345
0.00778,6,13730,1990,87.54,920
0.00578,3,11760,3314,177.73,1418
0.008,3.49,12750,999,149,770
0.00585,4,7840,4972,159.04,1829
0.00811,3.66,14000,1250.6,236.99,652
0.00801,3,17650,1000,119.27,886
0.00607,0.792,9800,3197,172.38,4090
0.01,2.25,2128,188,51.87,506
0.00993,3.12,3079,450,119.14,775
0.00394,2.08,2726,678,58.13,760
0.00925,3.05,6870,4055.6,271.2,1630
0.00578,3,13720,1493,179.38,809
0.01105,1,7840,962,118.67,2969
0.008,0.99,6860,2019,275.18,2500
0.008,0.79,9800,983,51.59,3343
0.0104,3.8,17650,1701,200.66,1116
0.01001,3,19610,1737,347.73,632
0.0108,2,5880,1511,259.87,1767
0.00795,2,17650,985,76.89,1383
0.00811,5,13980,2017.7,326.81,385
0.008,0.78,14700,1603,311.31,1408
0.01,2,16000,2506,153.47,2939
0.0131,2,3001,864,50.12,2536
0.00811,2,2000,500.6,192.86,872
0.00585,4,13720,3318,319.89,550
0.00798,1.65,17650,3811,331.18,1721
0.01001,3,5000,503,122.94,911
0.01,1,16000,1166,121.35,3104
0.00921,3.66,6870,4111.1,234.05,1715
0.01,2,13720,899,111.1,1480
0.0151,6,14710,1409,280.73,582
0.008,1.4,2989,4034,156.65,3797
0.00805,2,11790,3305.6,260.17,1606
0.008,1.6,14700,3191,244.77,2315
0.00993,1.04,2628,203,98.17,1036
0.008,3.49,7850,999,128.71,972
0.00782,3,9900,2000,63.67,1900
0.00622,0.914,10343,3607,116.63,5394.4
0.00798,6,5010,1515.2,164.9,734
0.008,1.57,7850,3180,225.86,2360
0.01,4.966,7000,4366,187.86,1908
0.01001,3,14000,2135,314.43,734
0.00394,2.08,2020,1909,54.01,1458
0.00779,6,9810,1937,232.41,570
0.0134,3.658,17354,2040.1,347.45,693.6
0.008,0.79,7850,989,176.23,2686
0.008,1.57,17700,1595,203.85,1705
0.008,1.8,2995,1994,196.44,2041
0.0078,7,17650,1502,56.66,723
0.01,1.5,696,692,87.73,1524
0.01,4.966,14000,2266,317.4,510
0.0077,2.6,14710,2750,179.92,1884
0.00792,1.65,17650,4004,333.13,1721
0.0134,3.658,13869,2039.3,308.77,781.9
0.00585,4,15690,1499,260.3,462
0.01001,3,18000,5540,257.94,2921
0.008,5.03,17700,2648,330.3,560
0.008,1.57,9800,1625,289.86,1317
0.00778,6,17650,3898,200.66,1430
0.0108,1,13730,1000,279.98,1420
0.01001,3,7000,3056,265.83,1510
0.0134,3.658,17947,2042.7,349.18,687.3
0.0131,2.5,1471,352,31.76,1013
0.0128,1.93,6895,3769.7,271.84,1996.9
0.008,1.6,14700,3994,321.25,1586
0.01,1.25,2883,101,38.06,506
0.00601,1,1128,2642,75.97,4378
0.00807,0.778,7840,2200,223.8,3130
0.00811,3.66,14000,1514.8,236.12,743
0.00585,4,19610,3328,322.51,745
0.00781,3,17650,1010,143.44,850
0.008,1.97,4900,1573,227.37,1730
0.00798,6,14010,3036.2,326.25,439
0.00932,3.048,7067.1,4125.7,245.74,1862.486
0.01,4.966,17650,1465,252.48,610
0.00803,3,15690,2041,321.57,626
0.00581,1,14710,1499,301.14,1104
0.00799,1,6860,996,174.36,2710
0.00801,1,17650,1000,119.27,2050
0.00778,6,17650,2013,270.54,530
0.0082,6,13720,1000,201.02,402
0.006,0.3,101.3,25.8,10.6,280
0.008,3.49,12750,2004,188.79,1076
0.00811,2,16000,502.2,327.71,364
0.00601,1,1128,2501,71.44,4174
0.008,0.99,13730,2008,106.66,3950
0.00998,1.5,7944,286,94.41,1038
0.012,1,915,100,87.14,589
0.00607,1,3040,571,48.77,1947
0.01,1,3109,159,31.24,995
0.00607,0.79,9800,3208,209.98,3332
0.00622,0.91,6895,3783,160.25,4606
0.00585,4,14710,4982,218.78,1578
0.00801,3,13730,4000,241.8,1809
0.01001,3,16000,1543,326.01,562
0.008,1,17650,979,256.27,1300
0.00811,5,17980,4003,256.71,1356
0.008,1.57,9800,2195,132.95,2732
0.01,2,14000,1380,112.48,1987
0.0093,1.219,114,92.2,68.57,376
0.00803,6,13730,1999,47.16,1040
0.00811,2,7010,2995.2,185.93,2532
0.01001,3,10000,395,213,571
0.00778,6,13730,3973,317.87,650
0.00803,6,15690,1986,313.6,383
0.01,2,2059,1910,43.09,3273
0.00803,3,17550,1993,74.93,1933
0.008,1,14727,1791.3,304.23,1444.9
0.0108,1,6860,1007,220.99,2653
0.00801,3,9810,4000,272.94,1325
0.00558,0.432,7140,2052,207.42,4450
0.00993,3.12,588,291,90.6,495
0.01,2,17650,556,104,974
0.0129,0.96,1785,539,97.66,2844
0.0082,5.37,13720,2268,310.99,473
0.00811,2,5010,2013.5,164.21,2453
0.00607,0.79,7850,2209,242.12,2676
0.00999,0.6,941,251,41.81,1979
0.00799,1,9810,2002,284.9,1800
0.01001,3,11760,1310,303.76,653
0.01,2,7000,948,133.23,1888
0.006,0.8,827,202,28.67,837
0.00799,3,6860,1001,245.15,883
0.01,2,10000,475,107.02,1121
