feature_to_remove,RMSE_wind,MAE_wind,,RMSE_solar,MAE_solar,,RMSE_load,MAE_load
DHI_DNI,0.035727469,0.023803053,,0.114093605,0.068398428,,0.078106706,0.06129167
DHI_GHI,0.036690299,0.021297257,,0.100875148,0.065028325,,0.070205263,0.059485454
DHI_Dew Point,0.037761207,0.025013573,,0.107779547,0.070068268,,0.107734666,0.088540153
DHI_Solar Zenith Angle,0.034652776,0.0213643,,0.238784006,0.140350142,,0.101530063,0.077437532
DHI_Wind Speed,0.036649846,0.021616788,,0.107668889,0.062900641,,0.079886892,0.06111485
DHI_Relative Humidity,0.044325362,0.02978134,,0.089084149,0.05729596,,0.085161207,0.068024013
DHI_Temperature,0.033705163,0.018799499,,0.106687745,0.061571028,,0.076285743,0.0590328
DNI_GHI,0.035450262,0.018647781,,0.11757679,0.070858449,,0.07590274,0.061068672
DNI_Dew Point,0.03491508,0.023336551,,0.103095265,0.064384837,,0.06538994,0.051104853
DNI_Solar Zenith Angle,0.035651945,0.024368032,,0.175568796,0.103921759,,0.108228307,0.08325209
DNI_Wind Speed,0.034184053,0.022120003,,0.118397711,0.073560619,,0.078921166,0.065888895
DNI_Relative Humidity,0.042418872,0.028742543,,0.098133608,0.058930227,,0.0822167,0.062656531
DNI_Temperature,0.034412396,0.022481176,,0.133590725,0.074907209,,0.075535113,0.057802246
GHI_Dew Point,0.034723443,0.023343313,,0.138933006,0.07974307,,0.089077236,0.071280609
GHI_Solar Zenith Angle,0.037864374,0.024533284,,0.198205822,0.132687663,,0.115592063,0.0903046
GHI_Wind Speed,0.037577664,0.022896513,,0.113179678,0.072129506,,0.076228532,0.059792167
GHI_Relative Humidity,0.038216756,0.025444532,,0.10061133,0.064245505,,0.06627105,0.054900482
GHI_Temperature,0.036478095,0.022023267,,0.145790183,0.083562845,,0.073292166,0.058461475
Dew Point_Solar Zenith Angle,0.035422574,0.018744019,,0.118333357,0.076464922,,0.082989055,0.061636001
Dew Point_Wind Speed,0.041979717,0.024435993,,0.10395621,0.069082797,,0.082720338,0.068984582
Dew Point_Relative Humidity,0.035249078,0.020406632,,0.083260028,0.051836958,,0.074729579,0.065333104
Dew Point_Temperature,0.032883119,0.020713144,,0.127288914,0.075860925,,0.071434493,0.055393731
Solar Zenith Angle_Wind Speed,0.040519025,0.025174113,,0.142514493,0.083113667,,0.103948311,0.083281637
Solar Zenith Angle_Relative Humidity,0.038218571,0.02274018,,0.245149115,0.157556721,,0.118382455,0.091340188
Solar Zenith Angle_Temperature,0.034548118,0.018673846,,0.154595486,0.094942496,,0.085172898,0.073712639
Wind Speed_Relative Humidity,0.037105812,0.023185203,,0.104695867,0.062578978,,0.085370157,0.06721745
Wind Speed_Temperature,0.032707135,0.019730324,,0.140319495,0.082194694,,0.101944258,0.082186887
Relative Humidity_Temperature,0.034293263,0.02238745,,0.132048641,0.080533535,,0.078771314,0.065398781
